M/Z,Intensity
800.0,154.0
800.32,236.0
800.64014,100.0
800.9604,202.0
801.28076,1372.0
801.60126,220.0
801.9219,161.0
802.2426,561.0
802.56354,260.0
802.8846,342.0
803.20575,323.0
803.52704,159.0
803.84845,180.0
804.17,206.0
804.49164,150.0
804.8134,80.0
805.1353,215.0
805.4574,151.0
805.7796,91.0
806.1019,177.0
806.4244,191.0
806.74695,75.0
807.06964,177.0
807.39246,136.0
807.7154,70.0
808.03845,141.0
808.3617,200.0
808.68506,65.0
809.00854,144.0
809.33215,256.0
809.6559,77.0
809.97974,121.0
810.3037,229.0
810.6278,71.0
810.9521,137.0
811.2765,180.0
811.601,107.0
811.92566,115.0
812.2504,213.0
812.5753,105.0
812.9003,118.0
813.22546,190.0
813.5508,108.0
813.8762,99.0
814.2018,214.0
814.52747,117.0
814.8533,119.0
815.1792,263.0
815.50525,140.0
815.8314,104.0
816.1578,200.0
816.48425,139.0
816.81085,174.0
817.1376,340.0
817.4644,240.0
817.7914,111.0
818.11847,212.0
818.44574,210.0
818.77313,99.0
819.10065,209.0
819.4283,180.0
819.75604,92.0
820.0839,193.0
820.412,175.0
820.7402,105.0
821.0685,181.0
821.3969,185.0
821.72546,67.0
822.05414,149.0
822.38293,149.0
822.7119,97.0
823.041,336.0
823.37024,232.0
823.6996,102.0
824.02905,264.0
824.35864,191.0
824.6884,318.0
825.0183,3747.0
825.3483,273.0
825.67847,177.0
826.0087,1670.0
826.3391,257.0
826.6696,111.0
827.0003,587.0
827.3311,218.0
827.66205,82.0
827.9931,199.0
828.3243,180.0
828.65564,87.0
828.9871,116.0
829.3187,203.0
829.65045,85.0
829.9823,100.0
830.3143,238.0
830.6464,77.0
830.9787,130.0
831.3111,181.0
831.6436,64.0
831.97626,132.0
832.309,184.0
832.64197,65.0
832.97504,149.0
833.3082,228.0
833.64154,85.0
833.975,133.0
834.3086,216.0
834.64233,99.0
834.9762,116.0
835.3102,208.0
835.6443,88.0
835.9785,129.0
836.3129,219.0
836.64746,87.0
836.9821,167.0
837.3169,216.0
837.6518,73.0
837.9869,163.0
838.3221,209.0
838.6574,125.0
838.99286,737.0
839.3284,241.0
839.6642,106.0
840.00006,429.0
840.33606,250.0
840.6722,151.0
841.0084,786.0
