M/Z,Intensity
800.0,520.0
800.32,612.0
800.64014,358.0
800.9604,922.0
801.28076,1396.0
801.60126,399.0
801.9219,512.0
802.2426,837.0
802.56354,573.0
802.8846,1076.0
803.20575,856.0
803.52704,457.0
803.84845,433.0
804.17,854.0
804.49164,678.0
804.8134,246.0
805.1353,718.0
805.4574,513.0
805.7796,223.0
806.1019,655.0
806.4244,1314.0
806.74695,245.0
807.06964,518.0
807.39246,892.0
807.7154,219.0
808.03845,433.0
808.3617,1754.0
808.68506,455.0
809.00854,445.0
809.33215,843.0
809.6559,543.0
809.97974,362.0
810.3037,727.0
810.6278,665.0
810.9521,444.0
811.2765,580.0
811.601,408.0
811.92566,354.0
812.2504,628.0
812.5753,477.0
812.9003,401.0
813.22546,599.0
813.5508,349.0
813.8762,318.0
814.2018,523.0
814.52747,443.0
814.8533,354.0
815.1792,605.0
815.50525,461.0
815.8314,234.0
816.1578,603.0
816.48425,440.0
816.81085,499.0
817.1376,973.0
817.4644,447.0
817.7914,275.0
818.11847,768.0
818.44574,529.0
818.77313,247.0
819.10065,628.0
819.4283,403.0
819.75604,197.0
820.0839,513.0
820.412,450.0
820.7402,263.0
821.0685,577.0
821.3969,451.0
821.72546,242.0
822.05414,498.0
822.38293,509.0
822.7119,336.0
823.041,2817.0
823.37024,579.0
823.6996,297.0
824.02905,1762.0
824.35864,648.0
824.6884,980.0
825.0183,17448.0
825.3483,938.0
825.67847,498.0
826.0087,7341.0
826.3391,793.0
826.6696,326.0
827.0003,2178.0
827.3311,555.0
827.66205,270.0
827.9931,734.0
828.3243,684.0
828.65564,260.0
828.9871,428.0
829.3187,619.0
829.65045,260.0
829.9823,343.0
830.3143,598.0
830.6464,256.0
830.9787,367.0
831.3111,533.0
831.6436,239.0
831.97626,341.0
832.309,629.0
832.64197,343.0
832.97504,443.0
833.3082,581.0
833.64154,279.0
833.975,394.0
834.3086,680.0
834.64233,434.0
834.9762,434.0
835.3102,553.0
835.6443,347.0
835.9785,423.0
836.3129,529.0
836.64746,279.0
836.9821,476.0
837.3169,515.0
837.6518,225.0
837.9869,432.0
838.3221,499.0
838.6574,371.0
838.99286,4498.0
839.3284,559.0
839.6642,292.0
840.00006,2171.0
840.33606,528.0
840.6722,430.0
841.0084,3538.0
841.34485,580.0
841.6814,323.0
842.01807,1706.0
842.35486,589.0
842.6918,307.0
843.0289,1105.0
843.3661,512.0
843.7034,260.0
844.0409,651.0
844.37854,524.0
844.7163,816.0
845.0542,6873.0
845.3922,1278.0
845.73035,749.0
846.06866,3622.0
846.4071,865.0
846.74567,600.0
847.08435,2209.0
847.42316,591.0
847.76215,374.0
848.10126,1023.0
848.4405,479.0
848.77985,259.0
849.1194,581.0
849.45905,397.0
849.7988,209.0
850.13873,545.0
850.47876,373.0
850.819,223.0
851.1593,479.0
851.49976,335.0
851.84033,205.0
852.1811,519.0
852.522,351.0
852.863,245.0
853.2041,534.0
853.5454,318.0
853.88684,292.0
854.2284,534.0
854.57007,274.0
854.9119,1765.0
855.2539,573.0
855.596,259.0
855.93823,922.0
856.2806,639.0
856.6231,392.0
856.96576,1546.0
857.30853,579.0
857.6514,253.0
857.9945,910.0
858.3377,637.0
858.681,249.0
859.0245,843.0
859.3681,580.0
859.71185,257.0
860.0557,604.0
860.3997,461.0
860.7439,3032.0
861.0882,7718.0
861.4326,665.0
861.77716,2102.0
862.1219,3095.0
862.46674,533.0
862.8117,1253.0
863.15686,1120.0
863.50214,400.0
863.84753,673.0
864.19305,584.0
864.53876,371.0
864.8846,573.0
865.2305,518.0
865.5766,272.0
865.92285,399.0
866.2692,593.0
866.6157,247.0
866.96234,744.0
867.30914,508.0
867.65607,228.0
868.0031,512.0
868.35034,479.0
868.6977,174.0
869.04517,394.0
869.39276,373.0
869.74054,188.0
870.08844,350.0
870.43646,369.0
870.7846,277.0
871.13293,455.0
871.4814,342.0
871.82996,240.0
872.1787,474.0
872.5276,351.0
872.8766,800.0
873.2257,526.0
873.575,282.0
873.92444,517.0
874.274,515.0
874.6237,252.0
874.9736,450.0
875.32355,470.0
875.6737,200.0
876.024,404.0
876.3744,581.0
876.7249,784.0
877.0756,1574.0
877.42645,572.0
877.7774,698.0
878.12854,699.0
878.4798,416.0
878.8312,765.0
879.18274,528.0
879.5344,308.0
879.8862,489.0
880.23816,600.0
880.5903,285.0
880.9425,419.0
881.29486,479.0
881.6474,211.0
882.00006,447.0
882.35284,457.0
882.7058,255.0
883.0589,593.0
883.4121,376.0
883.7655,205.0
884.119,454.0
884.47266,379.0
