M/Z,Intensity
800.0,407.0
800.32,443.0
800.64014,275.0
800.9604,453.0
801.28076,949.0
801.60126,367.0
801.9219,287.0
802.2426,554.0
802.56354,398.0
802.8846,835.0
803.20575,781.0
803.52704,372.0
803.84845,326.0
804.17,816.0
804.49164,537.0
804.8134,227.0
805.1353,737.0
805.4574,429.0
805.7796,181.0
806.1019,515.0
806.4244,1185.0
806.74695,235.0
807.06964,418.0
807.39246,759.0
807.7154,230.0
808.03845,338.0
808.3617,1160.0
808.68506,392.0
809.00854,370.0
809.33215,650.0
809.6559,410.0
809.97974,323.0
810.3037,581.0
810.6278,549.0
810.9521,327.0
811.2765,499.0
811.601,375.0
811.92566,246.0
812.2504,462.0
812.5753,413.0
812.9003,305.0
813.22546,479.0
813.5508,350.0
813.8762,201.0
814.2018,408.0
814.52747,330.0
814.8533,217.0
815.1792,483.0
815.50525,402.0
815.8314,167.0
816.1578,453.0
816.48425,419.0
816.81085,331.0
817.1376,735.0
817.4644,367.0
817.7914,185.0
818.11847,577.0
818.44574,359.0
818.77313,196.0
819.10065,500.0
819.4283,356.0
819.75604,164.0
820.0839,429.0
820.412,404.0
820.7402,192.0
821.0685,485.0
821.3969,389.0
821.72546,184.0
822.05414,427.0
822.38293,376.0
822.7119,218.0
823.041,1157.0
823.37024,382.0
823.6996,197.0
824.02905,804.0
824.35864,454.0
824.6884,581.0
825.0183,11223.0
825.3483,688.0
825.67847,330.0
826.0087,4911.0
826.3391,567.0
826.6696,243.0
827.0003,1565.0
827.3311,513.0
827.66205,203.0
827.9931,544.0
828.3243,529.0
828.65564,231.0
828.9871,357.0
829.3187,435.0
829.65045,217.0
829.9823,292.0
830.3143,446.0
830.6464,225.0
830.9787,273.0
831.3111,411.0
831.6436,209.0
831.97626,274.0
832.309,474.0
832.64197,309.0
832.97504,334.0
833.3082,483.0
833.64154,238.0
833.975,307.0
834.3086,535.0
834.64233,411.0
834.9762,386.0
835.3102,444.0
835.6443,350.0
835.9785,358.0
836.3129,421.0
836.64746,254.0
836.9821,405.0
837.3169,393.0
837.6518,209.0
837.9869,309.0
838.3221,381.0
838.6574,247.0
838.99286,2295.0
839.3284,443.0
839.6642,231.0
840.00006,1211.0
840.33606,423.0
840.6722,274.0
841.0084,2449.0
841.34485,468.0
841.6814,235.0
842.01807,1173.0
842.35486,441.0
842.6918,204.0
843.0289,775.0
843.3661,400.0
843.7034,167.0
844.0409,453.0
844.37854,465.0
844.7163,274.0
845.0542,2158.0
845.3922,824.0
845.73035,288.0
846.06866,1239.0
846.4071,530.0
846.74567,250.0
847.08435,804.0
847.42316,379.0
847.76215,209.0
848.10126,501.0
848.4405,328.0
848.77985,176.0
849.1194,367.0
849.45905,324.0
849.7988,143.0
850.13873,349.0
850.47876,296.0
850.819,165.0
851.1593,373.0
851.49976,280.0
851.84033,173.0
852.1811,371.0
852.522,259.0
852.863,195.0
853.2041,383.0
853.5454,261.0
853.88684,216.0
854.2284,400.0
854.57007,240.0
854.9119,1204.0
855.2539,454.0
855.596,229.0
855.93823,713.0
856.2806,482.0
856.6231,307.0
856.96576,872.0
857.30853,437.0
857.6514,205.0
857.9945,571.0
858.3377,457.0
858.681,206.0
859.0245,569.0
859.3681,430.0
859.71185,189.0
860.0557,407.0
