M/Z,Intensity
800.0,153.0
800.32,281.0
800.64014,163.0
800.9604,259.0
801.28076,396.0
801.60126,177.0
801.9219,146.0
802.2426,265.0
802.56354,227.0
802.8846,211.0
803.20575,299.0
803.52704,205.0
803.84845,115.0
804.17,309.0
804.49164,276.0
804.8134,92.0
805.1353,280.0
805.4574,266.0
805.7796,96.0
806.1019,223.0
806.4244,577.0
806.74695,126.0
807.06964,174.0
807.39246,403.0
807.7154,142.0
808.03845,159.0
808.3617,507.0
808.68506,220.0
809.00854,173.0
809.33215,354.0
809.6559,193.0
809.97974,152.0
810.3037,310.0
810.6278,228.0
810.9521,118.0
811.2765,273.0
811.601,179.0
811.92566,115.0
812.2504,220.0
812.5753,192.0
812.9003,147.0
813.22546,222.0
813.5508,184.0
813.8762,123.0
814.2018,203.0
814.52747,205.0
814.8533,115.0
815.1792,211.0
815.50525,254.0
815.8314,111.0
816.1578,197.0
816.48425,267.0
816.81085,152.0
817.1376,302.0
817.4644,238.0
817.7914,125.0
818.11847,231.0
818.44574,236.0
818.77313,100.0
819.10065,199.0
819.4283,219.0
819.75604,79.0
820.0839,190.0
820.412,264.0
820.7402,120.0
821.0685,183.0
821.3969,239.0
821.72546,93.0
822.05414,169.0
822.38293,228.0
822.7119,94.0
823.041,382.0
823.37024,218.0
823.6996,108.0
824.02905,291.0
824.35864,267.0
824.6884,191.0
825.0183,2972.0
825.3483,386.0
825.67847,148.0
826.0087,1419.0
826.3391,273.0
826.6696,122.0
827.0003,505.0
827.3311,266.0
827.66205,106.0
827.9931,205.0
828.3243,297.0
828.65564,142.0
828.9871,157.0
829.3187,265.0
829.65045,142.0
829.9823,121.0
830.3143,265.0
830.6464,137.0
830.9787,109.0
831.3111,226.0
831.6436,126.0
831.97626,121.0
832.309,255.0
832.64197,147.0
832.97504,130.0
833.3082,225.0
833.64154,146.0
833.975,147.0
834.3086,277.0
834.64233,256.0
834.9762,140.0
835.3102,231.0
835.6443,169.0
835.9785,129.0
836.3129,261.0
836.64746,124.0
836.9821,160.0
837.3169,247.0
837.6518,115.0
837.9869,130.0
838.3221,245.0
838.6574,153.0
838.99286,844.0
839.3284,224.0
839.6642,120.0
840.00006,465.0
840.33606,260.0
840.6722,134.0
841.0084,736.0
841.34485,269.0
841.6814,120.0
842.01807,402.0
842.35486,280.0
842.6918,141.0
843.0289,284.0
843.3661,248.0
843.7034,112.0
844.0409,193.0
844.37854,273.0
844.7163,151.0
845.0542,976.0
845.3922,373.0
845.73035,144.0
846.06866,604.0
846.4071,263.0
846.74567,164.0
847.08435,407.0
847.42316,215.0
847.76215,106.0
848.10126,218.0
848.4405,206.0
848.77985,100.0
849.1194,208.0
849.45905,182.0
849.7988,100.0
850.13873,193.0
850.47876,183.0
850.819,100.0
851.1593,185.0
851.49976,167.0
851.84033,97.0
852.1811,207.0
852.522,178.0
852.863,100.0
853.2041,191.0
853.5454,179.0
853.88684,115.0
854.2284,213.0
854.57007,152.0
854.9119,632.0
855.2539,290.0
855.596,132.0
855.93823,377.0
856.2806,259.0
856.6231,178.0
856.96576,404.0
857.30853,302.0
857.6514,106.0
857.9945,249.0
858.3377,347.0
858.681,106.0
859.0245,263.0
859.3681,251.0
859.71185,108.0
860.0557,174.0
860.3997,252.0
860.7439,529.0
861.0882,2206.0
861.4326,249.0
861.77716,398.0
862.1219,913.0
862.46674,220.0
862.8117,288.0
863.15686,436.0
863.50214,233.0
863.84753,195.0
864.19305,202.0
864.53876,189.0
864.8846,182.0
865.2305,209.0
865.5766,161.0
865.92285,116.0
866.2692,255.0
866.6157,121.0
866.96234,292.0
867.30914,244.0
867.65607,111.0
868.0031,193.0
868.35034,187.0
868.6977,95.0
869.04517,170.0
869.39276,163.0
869.74054,105.0
870.08844,136.0
870.43646,230.0
870.7846,108.0
871.13293,171.0
871.4814,185.0
871.82996,97.0
872.1787,170.0
872.5276,158.0
872.8766,301.0
873.2257,272.0
873.575,152.0
873.92444,224.0
874.274,235.0
874.6237,121.0
874.9736,147.0
875.32355,228.0
875.6737,99.0
876.024,132.0
876.3744,243.0
876.7249,194.0
877.0756,522.0
877.42645,245.0
877.7774,184.0
878.12854,253.0
878.4798,190.0
878.8312,230.0
879.18274,179.0
879.5344,166.0
879.8862,170.0
880.23816,211.0
880.5903,181.0
880.9425,167.0
881.29486,203.0
881.6474,107.0
882.00006,117.0
882.35284,229.0
882.7058,121.0
883.0589,220.0
883.4121,213.0
883.7655,103.0
884.119,185.0
884.47266,175.0
884.8264,113.0
885.18036,164.0
885.5344,181.0
885.8886,117.0
886.243,171.0
886.5975,134.0
886.9521,105.0
887.3069,218.0
887.6618,90.0
888.01685,111.0
888.3721,216.0
888.7274,122.0
889.0829,179.0
889.43854,245.0
889.7943,115.0
890.1502,144.0
890.5063,231.0
890.8625,99.0
891.2188,172.0
891.5753,158.0
891.93195,102.0
892.2887,266.0
892.6456,145.0
893.0027,141.0
893.35986,248.0
893.7172,96.0
894.0747,150.0
894.4323,287.0
894.7901,141.0
895.148,182.0
895.50604,184.0
895.86426,132.0
896.2226,192.0
896.58105,130.0
896.9397,118.0
897.29846,192.0
897.6574,110.0
898.0165,139.0
898.3757,240.0
898.73505,76.0
899.09454,182.0
899.45416,197.0
899.81396,102.0
900.1739,216.0
900.53394,203.0
900.89417,109.0
901.2545,214.0
901.615,128.0
901.97565,107.0
902.3364,213.0
902.6974,103.0
903.0585,129.0
903.4197,190.0
903.78107,105.0
904.1426,167.0
904.5042,191.0
904.866,110.0
905.22797,181.0
905.5901,165.0
905.95233,128.0
906.3147,245.0
906.67725,98.0
907.0399,124.0
907.4027,201.0
907.7657,101.0
908.1288,141.0
908.49207,235.0
908.85547,114.0
909.219,171.0
909.5827,164.0
909.94653,95.0
910.3105,215.0
910.6746,122.0
911.0389,163.0
911.4033,227.0
911.7679,76.0
912.13257,120.0
912.49744,195.0
912.8624,93.0
913.2276,189.0
913.5929,141.0
913.9583,121.0
914.3239,194.0
914.68964,117.0
915.05554,170.0
915.4216,225.0
915.7877,91.0
916.15405,160.0
916.5205,177.0
916.88715,102.0
917.2539,200.0
917.6208,123.0
917.98785,119.0
918.35504,241.0
918.7224,132.0
919.0899,123.0
919.4575,198.0
919.8253,84.0
920.19324,207.0
920.56134,158.0
920.92957,110.0
921.2979,237.0
921.66644,95.0
922.0351,133.0
922.40393,234.0
922.7729,91.0
923.14197,169.0
923.5112,187.0
923.8806,108.0
924.2502,189.0
924.6199,123.0
924.98975,121.0
925.35974,208.0
925.72986,99.0
926.10016,160.0
926.4706,194.0
926.8412,118.0
927.2119,173.0
927.5828,137.0
927.95386,105.0
928.325,190.0
928.69635,99.0
929.0678,138.0
929.43945,211.0
929.8112,100.0
930.18317,159.0
930.55524,188.0
930.9274,115.0
931.2998,188.0
931.6723,122.0
932.045,112.0
932.4178,198.0
932.7908,79.0
933.1639,163.0
933.5372,202.0
933.9106,119.0
934.2841,259.0
934.65784,142.0
935.0317,123.0
935.4057,221.0
935.77985,94.0
936.1542,152.0
936.5286,162.0
936.90326,99.0
937.278,190.0
937.65295,143.0
938.028,124.0
938.4032,187.0
938.77856,88.0
939.15405,157.0
939.5297,144.0
939.9055,100.0
940.2815,182.0
940.6576,122.0
941.0339,116.0
941.4103,198.0
941.78687,105.0
942.1636,154.0
942.54047,179.0
942.9175,131.0
943.2947,190.0
943.672,124.0
944.04944,131.0
944.42706,190.0
944.8048,89.0
945.18274,163.0
945.5608,181.0
945.939,122.0
946.3174,202.0
946.6959,124.0
947.0746,120.0
947.4534,223.0
947.8324,116.0
948.21155,206.0
948.5908,150.0
948.9703,95.0
949.34985,210.0
949.7296,88.0
950.1095,130.0
950.48956,180.0
950.86975,103.0
951.2501,168.0
951.6306,158.0
952.0113,116.0
952.3921,237.0
952.7731,106.0
953.1542,164.0
953.53546,177.0
953.9169,106.0
954.29846,242.0
954.6802,143.0
955.0621,144.0
955.4441,231.0
955.8263,91.0
956.2086,158.0
956.5911,159.0
956.97375,102.0
957.35657,227.0
957.7395,104.0
958.1226,143.0
958.50586,207.0
958.8893,110.0
959.2728,190.0
959.65656,125.0
960.0404,117.0
960.42444,180.0
960.8086,101.0
961.19293,178.0
961.5774,199.0
961.96204,104.0
962.3468,232.0
962.73175,111.0
963.1168,138.0
963.5021,186.0
963.88745,113.0
964.273,179.0
964.6587,134.0
965.04456,140.0
965.4306,197.0
965.8168,112.0
966.2031,166.0
966.5896,130.0
966.97626,106.0
967.36304,203.0
967.75,109.0
968.1371,173.0
968.52435,187.0
968.91174,111.0
969.2993,233.0
969.687,126.0
970.0749,177.0
970.4629,238.0
970.8511,108.0
971.23944,215.0
971.6279,171.0
972.0166,119.0
972.4054,231.0
972.7944,89.0
973.1835,179.0
973.57275,211.0
973.96216,109.0
974.35175,243.0
974.7415,95.0
975.1314,114.0
975.5215,202.0
975.9117,94.0
976.30206,201.0
976.69257,107.0
977.08325,124.0
977.47406,220.0
977.86505,119.0
978.2562,203.0
978.6475,148.0
979.039,137.0
979.4306,210.0
979.8224,92.0
980.2143,169.0
980.6064,159.0
980.99866,129.0
981.39105,183.0
981.7836,93.0
982.17633,176.0
982.5692,170.0
982.9622,133.0
983.3554,180.0
983.7488,116.0
984.1423,162.0
984.53595,157.0
984.92975,131.0
985.3237,206.0
985.71783,121.0
986.1121,174.0
986.5066,178.0
986.9012,115.0
987.29596,185.0
987.69086,125.0
988.08594,154.0
988.4812,207.0
988.8766,119.0
989.27216,191.0
989.66785,145.0
990.0637,157.0
990.4597,181.0
990.8559,130.0
991.25226,231.0
991.64874,142.0
992.0454,199.0
992.4422,225.0
992.8392,102.0
993.2363,175.0
993.6336,138.0
994.03107,147.0
994.42865,196.0
994.8264,104.0
995.22437,214.0
995.62244,139.0
996.0207,131.0
996.4191,195.0
996.8177,105.0
997.21643,170.0
997.6153,168.0
998.01434,132.0
998.4136,214.0
998.8129,86.0
999.21246,151.0
999.6121,146.0
1000.01196,128.0
1000.412,216.0
1000.81213,100.0
1001.21246,162.0
1001.613,163.0
1002.0136,129.0
1002.4144,178.0
1002.81537,118.0
1003.2165,169.0
1003.6178,172.0
1004.0192,149.0
1004.42084,212.0
1004.82263,130.0
1005.22455,177.0
1005.62665,147.0
1006.0289,185.0
1006.4313,188.0
1006.83386,133.0
1007.2366,230.0
1007.63947,124.0
1008.04254,184.0
1008.44574,204.0
1008.8491,139.0
1009.2527,209.0
1009.6564,163.0
1010.06024,173.0
1010.4643,203.0
1010.86847,113.0
1011.2728,182.0
1011.6773,127.0
1012.082,176.0
1012.4868,207.0
1012.8918,136.0
1013.29694,203.0
1013.7023,138.0
1014.1077,240.0
1014.51337,186.0
1014.9192,145.0
1015.32513,212.0
1015.73126,134.0
1016.1376,181.0
1016.544,156.0
1016.9506,126.0
1017.3574,221.0
1017.76434,104.0
1018.17145,159.0
1018.57874,169.0
1018.98615,113.0
1019.39374,193.0
1019.8015,120.0
1020.2094,125.0
1020.6175,142.0
1021.02576,123.0
1021.43414,252.0
1021.8427,126.0
1022.25146,189.0
1022.66034,177.0
1023.0694,154.0
1023.47864,214.0
1023.888,134.0
1024.2976,159.0
1024.7073,107.0
1025.1172,150.0
1025.5272,186.0
1025.9374,125.0
1026.3478,212.0
1026.7583,130.0
1027.169,157.0
1027.5798,169.0
1027.9908,228.0
1028.4021,186.0
1028.8135,144.0
1029.225,223.0
1029.6367,181.0
1030.0486,312.0
1030.4606,207.0
1030.8728,179.0
1031.2852,194.0
1031.6976,151.0
1032.1104,185.0
1032.5232,189.0
1032.9362,126.0
1033.3494,184.0
1033.7627,176.0
1034.1761,261.0
1034.5898,172.0
1035.0037,213.0
1035.4177,198.0
1035.8319,165.0
1036.2462,172.0
1036.6608,162.0
1037.0754,181.0
1037.4902,219.0
1037.9053,139.0
1038.3204,217.0
1038.7357,130.0
1039.1512,153.0
1039.5669,199.0
1039.9827,121.0
1040.3987,206.0
1040.8148,100.0
1041.2312,178.0
1041.6477,174.0
1042.0643,118.0
1042.4812,193.0
1042.8982,124.0
1043.3153,201.0
1043.7327,189.0
1044.1501,262.0
1044.5677,169.0
1044.9856,206.0
1045.4036,180.0
1045.8218,157.0
1046.2401,179.0
1046.6586,164.0
1047.0773,147.0
1047.4961,190.0
1047.915,128.0
1048.3342,195.0
1048.7535,131.0
1049.1731,164.0
1049.5928,204.0
1050.0126,705.0
1050.4326,232.0
1050.8528,425.0
1051.2731,272.0
1051.6936,159.0
1052.1143,335.0
1052.5352,167.0
1052.9562,214.0
1053.3773,205.0
1053.7987,156.0
1054.2202,198.0
1054.6418,165.0
1055.0637,155.0
1055.4857,170.0
1055.908,156.0
1056.3303,198.0
1056.7528,128.0
1057.1755,153.0
1057.5984,238.0
1058.0215,163.0
1058.4447,242.0
1058.868,118.0
1059.2916,210.0
1059.7153,165.0
1060.1392,182.0
1060.5632,245.0
1060.9874,170.0
1061.4119,203.0
1061.8364,142.0
1062.2611,176.0
1062.686,150.0
1063.1111,155.0
1063.5364,190.0
1063.9618,123.0
1064.3873,202.0
1064.8131,109.0
1065.239,174.0
1065.6652,283.0
1066.0914,637.0
1066.5178,198.0
1066.9445,491.0
1067.3712,207.0
1067.7982,250.0
1068.2253,211.0
1068.6526,171.0
1069.0801,208.0
1069.5077,207.0
1069.9355,180.0
1070.3635,201.0
1070.7916,163.0
1071.22,176.0
1071.6484,208.0
1072.0771,300.0
1072.506,185.0
