M/Z,Intensity
800.0,94.0
800.32,100.0
800.64014,40.0
800.9604,81.0
801.28076,234.0
801.60126,54.0
801.9219,67.0
802.2426,173.0
802.56354,65.0
802.8846,167.0
803.20575,134.0
803.52704,63.0
803.84845,103.0
804.17,134.0
804.49164,71.0
804.8134,66.0
805.1353,124.0
805.4574,76.0
805.7796,48.0
806.1019,137.0
806.4244,97.0
806.74695,55.0
807.06964,116.0
807.39246,111.0
807.7154,45.0
808.03845,109.0
808.3617,124.0
808.68506,44.0
809.00854,93.0
809.33215,143.0
809.6559,47.0
809.97974,88.0
810.3037,124.0
810.6278,57.0
810.9521,121.0
811.2765,143.0
811.601,49.0
811.92566,77.0
812.2504,120.0
812.5753,60.0
812.9003,90.0
813.22546,118.0
813.5508,65.0
813.8762,59.0
814.2018,140.0
814.52747,65.0
814.8533,64.0
815.1792,150.0
815.50525,57.0
815.8314,70.0
816.1578,127.0
816.48425,86.0
816.81085,100.0
817.1376,135.0
817.4644,96.0
817.7914,63.0
818.11847,142.0
818.44574,73.0
818.77313,60.0
819.10065,120.0
819.4283,75.0
819.75604,52.0
820.0839,105.0
820.412,102.0
820.7402,48.0
821.0685,116.0
821.3969,106.0
821.72546,44.0
822.05414,98.0
822.38293,81.0
822.7119,61.0
823.041,120.0
823.37024,116.0
823.6996,52.0
824.02905,114.0
824.35864,134.0
824.6884,139.0
825.0183,1102.0
825.3483,131.0
825.67847,81.0
826.0087,492.0
826.3391,117.0
826.6696,57.0
827.0003,218.0
827.3311,128.0
827.66205,41.0
827.9931,93.0
828.3243,107.0
828.65564,40.0
828.9871,72.0
829.3187,116.0
829.65045,49.0
829.9823,87.0
830.3143,125.0
830.6464,35.0
830.9787,90.0
831.3111,105.0
831.6436,39.0
831.97626,84.0
832.309,121.0
832.64197,53.0
832.97504,118.0
833.3082,100.0
833.64154,46.0
833.975,80.0
834.3086,116.0
834.64233,56.0
834.9762,105.0
835.3102,130.0
835.6443,44.0
835.9785,83.0
836.3129,116.0
836.64746,53.0
836.9821,126.0
837.3169,96.0
837.6518,55.0
837.9869,109.0
838.3221,100.0
838.6574,71.0
838.99286,276.0
839.3284,123.0
839.6642,61.0
840.00006,178.0
840.33606,122.0
840.6722,64.0
841.0084,264.0
841.34485,113.0
841.6814,53.0
842.01807,165.0
842.35486,116.0
842.6918,53.0
843.0289,143.0
843.3661,107.0
843.7034,64.0
844.0409,95.0
844.37854,106.0
844.7163,61.0
845.0542,151.0
845.3922,227.0
845.73035,64.0
846.06866,121.0
846.4071,153.0
846.74567,61.0
847.08435,128.0
847.42316,110.0
847.76215,44.0
848.10126,102.0
848.4405,95.0
848.77985,56.0
849.1194,117.0
849.45905,77.0
849.7988,41.0
850.13873,107.0
850.47876,83.0
850.819,66.0
851.1593,107.0
851.49976,78.0
851.84033,61.0
852.1811,111.0
852.522,68.0
852.863,64.0
853.2041,139.0
853.5454,57.0
853.88684,65.0
854.2284,102.0
854.57007,56.0
854.9119,316.0
855.2539,121.0
855.596,61.0
855.93823,208.0
856.2806,131.0
856.6231,62.0
856.96576,167.0
857.30853,119.0
857.6514,41.0
857.9945,118.0
858.3377,138.0
858.681,52.0
859.0245,131.0
859.3681,119.0
859.71185,48.0
860.0557,110.0
860.3997,85.0
860.7439,303.0
861.0882,352.0
861.4326,131.0
861.77716,212.0
862.1219,148.0
862.46674,117.0
862.8117,144.0
863.15686,134.0
863.50214,82.0
863.84753,83.0
864.19305,140.0
864.53876,66.0
864.8846,71.0
865.2305,119.0
865.5766,68.0
865.92285,56.0
866.2692,126.0
866.6157,53.0
866.96234,117.0
867.30914,116.0
867.65607,47.0
868.0031,85.0
868.35034,84.0
868.6977,45.0
869.04517,85.0
869.39276,90.0
869.74054,53.0
870.08844,84.0
870.43646,98.0
870.7846,66.0
871.13293,100.0
871.4814,72.0
871.82996,52.0
872.1787,99.0
872.5276,64.0
872.8766,118.0
873.2257,117.0
873.575,40.0
873.92444,119.0
874.274,115.0
874.6237,53.0
874.9736,95.0
875.32355,112.0
875.6737,51.0
876.024,98.0
876.3744,119.0
876.7249,127.0
877.0756,139.0
877.42645,120.0
877.7774,101.0
878.12854,118.0
878.4798,86.0
878.8312,84.0
879.18274,110.0
879.5344,56.0
879.8862,65.0
880.23816,136.0
880.5903,46.0
880.9425,79.0
881.29486,109.0
881.6474,35.0
882.00006,99.0
882.35284,104.0
882.7058,68.0
883.0589,101.0
883.4121,87.0
883.7655,38.0
884.119,88.0
884.47266,65.0
884.8264,61.0
885.18036,118.0
885.5344,64.0
885.8886,77.0
886.243,103.0
886.5975,54.0
886.9521,61.0
887.3069,116.0
887.6618,36.0
888.01685,80.0
888.3721,100.0
888.7274,59.0
889.0829,101.0
889.43854,144.0
889.7943,42.0
890.1502,92.0
890.5063,114.0
890.8625,53.0
891.2188,120.0
891.5753,52.0
891.93195,66.0
892.2887,122.0
892.6456,45.0
893.0027,80.0
893.35986,112.0
893.7172,53.0
894.0747,103.0
894.4323,91.0
894.7901,52.0
895.148,113.0
895.50604,67.0
895.86426,63.0
896.2226,92.0
896.58105,43.0
896.9397,69.0
897.29846,101.0
897.6574,53.0
898.0165,63.0
898.3757,110.0
898.73505,54.0
899.09454,85.0
899.45416,75.0
899.81396,48.0
900.1739,110.0
900.53394,68.0
900.89417,66.0
901.2545,117.0
901.615,39.0
901.97565,55.0
902.3364,110.0
902.6974,42.0
903.0585,80.0
903.4197,106.0
903.78107,70.0
904.1426,117.0
904.5042,103.0
904.866,61.0
905.22797,146.0
905.5901,62.0
905.95233,70.0
906.3147,153.0
906.67725,44.0
907.0399,89.0
907.4027,91.0
907.7657,36.0
908.1288,91.0
908.49207,64.0
908.85547,43.0
909.219,108.0
909.5827,64.0
909.94653,62.0
910.3105,107.0
910.6746,39.0
911.0389,80.0
911.4033,84.0
911.7679,62.0
912.13257,96.0
912.49744,52.0
912.8624,45.0
913.2276,116.0
913.5929,55.0
913.9583,50.0
914.3239,103.0
914.68964,41.0
915.05554,77.0
915.4216,90.0
915.7877,43.0
916.15405,106.0
916.5205,65.0
916.88715,49.0
917.2539,114.0
917.6208,49.0
917.98785,58.0
918.35504,108.0
918.7224,50.0
919.0899,91.0
919.4575,72.0
919.8253,64.0
920.19324,123.0
920.56134,42.0
920.92957,58.0
921.2979,125.0
921.66644,45.0
922.0351,55.0
922.40393,88.0
922.7729,47.0
923.14197,109.0
923.5112,78.0
923.8806,57.0
924.2502,99.0
924.6199,46.0
924.98975,75.0
925.35974,84.0
925.72986,34.0
926.10016,92.0
926.4706,49.0
926.8412,57.0
927.2119,100.0
927.5828,36.0
927.95386,64.0
928.325,114.0
928.69635,51.0
929.0678,80.0
929.43945,109.0
929.8112,61.0
930.18317,81.0
930.55524,63.0
930.9274,73.0
931.2998,103.0
931.6723,59.0
932.045,69.0
932.4178,72.0
932.7908,42.0
933.1639,98.0
933.5372,113.0
933.9106,61.0
934.2841,123.0
934.65784,49.0
935.0317,89.0
935.4057,107.0
935.77985,35.0
936.1542,97.0
936.5286,61.0
936.90326,47.0
937.278,123.0
937.65295,45.0
938.028,77.0
938.4032,86.0
938.77856,31.0
939.15405,92.0
939.5297,53.0
939.9055,60.0
940.2815,90.0
940.6576,52.0
941.0339,78.0
941.4103,83.0
941.78687,48.0
942.1636,101.0
942.54047,61.0
942.9175,67.0
943.2947,93.0
943.672,47.0
944.04944,86.0
944.42706,71.0
944.8048,48.0
945.18274,97.0
945.5608,60.0
945.939,65.0
946.3174,89.0
946.6959,40.0
947.0746,72.0
947.4534,94.0
947.8324,42.0
948.21155,81.0
948.5908,48.0
948.9703,68.0
949.34985,111.0
949.7296,33.0
950.1095,74.0
950.48956,70.0
950.86975,44.0
951.2501,85.0
951.6306,50.0
952.0113,87.0
952.3921,103.0
952.7731,37.0
953.1542,86.0
953.53546,59.0
953.9169,47.0
954.29846,98.0
954.6802,46.0
955.0621,74.0
955.4441,93.0
955.8263,50.0
956.2086,97.0
956.5911,53.0
956.97375,58.0
957.35657,103.0
957.7395,53.0
958.1226,77.0
958.50586,64.0
958.8893,38.0
959.2728,116.0
959.65656,33.0
960.0404,56.0
960.42444,85.0
960.8086,37.0
961.19293,95.0
961.5774,48.0
961.96204,61.0
962.3468,97.0
962.73175,43.0
963.1168,75.0
963.5021,75.0
963.88745,53.0
964.273,103.0
964.6587,47.0
965.04456,63.0
965.4306,88.0
965.8168,38.0
966.2031,96.0
966.5896,62.0
966.97626,66.0
967.36304,81.0
967.75,44.0
968.1371,92.0
968.52435,86.0
968.91174,59.0
969.2993,92.0
969.687,47.0
970.0749,92.0
970.4629,91.0
970.8511,66.0
971.23944,84.0
971.6279,49.0
972.0166,50.0
972.4054,86.0
972.7944,40.0
973.1835,91.0
973.57275,63.0
973.96216,56.0
974.35175,108.0
974.7415,43.0
975.1314,89.0
975.5215,80.0
975.9117,57.0
976.30206,97.0
976.69257,38.0
977.08325,79.0
977.47406,138.0
977.86505,57.0
978.2562,108.0
978.6475,45.0
979.039,71.0
979.4306,94.0
979.8224,52.0
980.2143,103.0
980.6064,65.0
980.99866,67.0
981.39105,95.0
981.7836,37.0
982.17633,115.0
982.5692,66.0
982.9622,55.0
983.3554,88.0
983.7488,40.0
984.1423,94.0
984.53595,57.0
984.92975,56.0
985.3237,88.0
985.71783,58.0
986.1121,97.0
986.5066,78.0
986.9012,85.0
987.29596,92.0
987.69086,53.0
988.08594,85.0
988.4812,70.0
988.8766,51.0
989.27216,92.0
989.66785,66.0
990.0637,80.0
990.4597,79.0
990.8559,40.0
991.25226,104.0
991.64874,40.0
992.0454,63.0
992.4422,89.0
992.8392,50.0
993.2363,95.0
993.6336,60.0
994.03107,77.0
994.42865,87.0
994.8264,72.0
995.22437,96.0
995.62244,41.0
996.0207,64.0
996.4191,100.0
996.8177,39.0
997.21643,110.0
997.6153,52.0
998.01434,64.0
998.4136,93.0
998.8129,41.0
999.21246,92.0
999.6121,62.0
1000.01196,87.0
1000.412,102.0
1000.81213,55.0
1001.21246,106.0
1001.613,53.0
1002.0136,67.0
1002.4144,98.0
1002.81537,54.0
1003.2165,99.0
1003.6178,50.0
1004.0192,60.0
1004.42084,91.0
1004.82263,56.0
1005.22455,103.0
1005.62665,62.0
1006.0289,86.0
1006.4313,80.0
1006.83386,65.0
1007.2366,81.0
1007.63947,63.0
1008.04254,115.0
1008.44574,77.0
1008.8491,62.0
1009.2527,106.0
1009.6564,61.0
1010.06024,97.0
1010.4643,86.0
1010.86847,48.0
1011.2728,89.0
1011.6773,38.0
1012.082,82.0
1012.4868,76.0
1012.8918,51.0
1013.29694,87.0
1013.7023,63.0
1014.1077,123.0
1014.51337,84.0
1014.9192,69.0
1015.32513,98.0
1015.73126,43.0
1016.1376,76.0
1016.544,82.0
1016.9506,62.0
1017.3574,113.0
1017.76434,41.0
1018.17145,89.0
1018.57874,61.0
1018.98615,49.0
1019.39374,97.0
1019.8015,55.0
1020.2094,86.0
1020.6175,46.0
1021.02576,64.0
1021.43414,135.0
1021.8427,56.0
1022.25146,102.0
1022.66034,48.0
1023.0694,89.0
1023.47864,85.0
1023.888,62.0
1024.2976,84.0
1024.7073,51.0
1025.1172,65.0
1025.5272,66.0
1025.9374,70.0
1026.3478,98.0
1026.7583,48.0
1027.169,70.0
1027.5798,75.0
1027.9908,77.0
1028.4021,83.0
1028.8135,72.0
1029.225,101.0
1029.6367,84.0
1030.0486,142.0
1030.4606,80.0
1030.8728,93.0
1031.2852,100.0
1031.6976,53.0
1032.1104,84.0
1032.5232,82.0
1032.9362,56.0
1033.3494,80.0
1033.7627,71.0
1034.1761,84.0
1034.5898,55.0
1035.0037,79.0
1035.4177,75.0
1035.8319,45.0
1036.2462,113.0
1036.6608,76.0
1037.0754,71.0
1037.4902,91.0
1037.9053,68.0
1038.3204,113.0
1038.7357,36.0
1039.1512,83.0
1039.5669,57.0
1039.9827,54.0
1040.3987,77.0
1040.8148,39.0
1041.2312,87.0
1041.6477,66.0
1042.0643,61.0
1042.4812,74.0
1042.8982,41.0
1043.3153,103.0
1043.7327,93.0
1044.1501,105.0
1044.5677,53.0
1044.9856,70.0
1045.4036,74.0
1045.8218,75.0
1046.2401,105.0
1046.6586,60.0
1047.0773,77.0
1047.4961,79.0
1047.915,74.0
1048.3342,106.0
1048.7535,42.0
1049.1731,86.0
