M/Z,Intensity
800.0,133.0
800.32,194.0
800.64014,51.0
800.9604,205.0
801.28076,302.0
801.60126,67.0
801.9219,111.0
802.2426,229.0
802.56354,72.0
802.8846,402.0
803.20575,207.0
803.52704,77.0
803.84845,170.0
804.17,224.0
804.49164,64.0
804.8134,84.0
805.1353,210.0
805.4574,127.0
805.7796,63.0
806.1019,200.0
806.4244,135.0
806.74695,56.0
807.06964,195.0
807.39246,132.0
807.7154,49.0
808.03845,165.0
808.3617,162.0
808.68506,55.0
809.00854,172.0
809.33215,224.0
809.6559,51.0
809.97974,138.0
810.3037,186.0
810.6278,71.0
810.9521,208.0
811.2765,188.0
811.601,63.0
811.92566,136.0
812.2504,214.0
812.5753,71.0
812.9003,168.0
813.22546,172.0
813.5508,67.0
813.8762,102.0
814.2018,187.0
814.52747,71.0
814.8533,125.0
815.1792,219.0
815.50525,96.0
815.8314,90.0
816.1578,210.0
816.48425,108.0
816.81085,325.0
817.1376,347.0
817.4644,113.0
817.7914,140.0
818.11847,283.0
818.44574,108.0
818.77313,93.0
819.10065,241.0
819.4283,117.0
819.75604,58.0
820.0839,178.0
820.412,135.0
820.7402,85.0
821.0685,177.0
821.3969,152.0
821.72546,56.0
822.05414,166.0
822.38293,127.0
822.7119,72.0
823.041,317.0
823.37024,148.0
823.6996,58.0
824.02905,231.0
824.35864,196.0
824.6884,247.0
825.0183,2155.0
825.3483,203.0
825.67847,117.0
826.0087,1061.0
826.3391,174.0
826.6696,72.0
827.0003,417.0
827.3311,158.0
827.66205,68.0
827.9931,186.0
828.3243,176.0
828.65564,42.0
828.9871,137.0
829.3187,161.0
829.65045,48.0
829.9823,112.0
830.3143,164.0
830.6464,48.0
830.9787,200.0
831.3111,152.0
831.6436,50.0
831.97626,134.0
832.309,154.0
832.64197,49.0
832.97504,290.0
833.3082,154.0
833.64154,45.0
833.975,185.0
834.3086,178.0
834.64233,71.0
834.9762,213.0
835.3102,138.0
835.6443,75.0
835.9785,201.0
836.3129,183.0
836.64746,56.0
836.9821,325.0
837.3169,162.0
837.6518,54.0
837.9869,227.0
838.3221,158.0
838.6574,119.0
838.99286,772.0
839.3284,155.0
839.6642,60.0
840.00006,413.0
840.33606,180.0
840.6722,116.0
841.0084,550.0
841.34485,174.0
841.6814,68.0
842.01807,295.0
842.35486,205.0
842.6918,64.0
843.0289,198.0
843.3661,182.0
843.7034,56.0
844.0409,156.0
844.37854,147.0
844.7163,74.0
845.0542,314.0
845.3922,203.0
845.73035,84.0
846.06866,210.0
846.4071,149.0
846.74567,73.0
847.08435,185.0
847.42316,118.0
847.76215,71.0
848.10126,160.0
848.4405,111.0
848.77985,67.0
849.1194,169.0
849.45905,143.0
849.7988,56.0
850.13873,161.0
850.47876,109.0
850.819,106.0
851.1593,189.0
851.49976,85.0
851.84033,86.0
852.1811,175.0
852.522,86.0
852.863,108.0
853.2041,167.0
853.5454,97.0
853.88684,108.0
854.2284,157.0
854.57007,85.0
854.9119,829.0
855.2539,197.0
855.596,68.0
855.93823,451.0
856.2806,181.0
856.6231,72.0
856.96576,360.0
857.30853,153.0
857.6514,59.0
857.9945,230.0
858.3377,166.0
858.681,66.0
859.0245,255.0
859.3681,155.0
859.71185,57.0
860.0557,199.0
860.3997,162.0
860.7439,498.0
861.0882,673.0
861.4326,147.0
861.77716,362.0
862.1219,300.0
862.46674,138.0
862.8117,242.0
863.15686,191.0
863.50214,110.0
863.84753,136.0
864.19305,186.0
864.53876,82.0
864.8846,135.0
865.2305,171.0
865.5766,85.0
865.92285,141.0
866.2692,150.0
866.6157,73.0
866.96234,188.0
867.30914,170.0
867.65607,48.0
868.0031,143.0
868.35034,142.0
868.6977,68.0
869.04517,125.0
869.39276,116.0
869.74054,55.0
870.08844,115.0
870.43646,113.0
870.7846,116.0
871.13293,160.0
871.4814,83.0
871.82996,90.0
872.1787,148.0
872.5276,87.0
872.8766,254.0
873.2257,174.0
873.575,77.0
873.92444,186.0
874.274,181.0
874.6237,52.0
874.9736,175.0
875.32355,172.0
875.6737,59.0
876.024,162.0
876.3744,172.0
876.7249,213.0
877.0756,270.0
877.42645,202.0
877.7774,160.0
878.12854,189.0
878.4798,98.0
878.8312,163.0
879.18274,165.0
879.5344,86.0
879.8862,137.0
880.23816,201.0
880.5903,71.0
880.9425,136.0
881.29486,170.0
881.6474,44.0
882.00006,120.0
882.35284,144.0
882.7058,65.0
883.0589,149.0
883.4121,119.0
883.7655,77.0
884.119,136.0
884.47266,107.0
884.8264,63.0
885.18036,150.0
885.5344,74.0
885.8886,84.0
886.243,132.0
886.5975,67.0
886.9521,87.0
887.3069,179.0
887.6618,57.0
888.01685,120.0
888.3721,136.0
888.7274,75.0
889.0829,119.0
889.43854,164.0
889.7943,82.0
890.1502,134.0
890.5063,141.0
890.8625,84.0
891.2188,169.0
891.5753,79.0
891.93195,85.0
892.2887,164.0
892.6456,63.0
893.0027,120.0
893.35986,181.0
893.7172,60.0
894.0747,140.0
894.4323,145.0
894.7901,121.0
895.148,135.0
895.50604,90.0
895.86426,96.0
896.2226,144.0
896.58105,63.0
896.9397,110.0
897.29846,131.0
897.6574,33.0
898.0165,127.0
898.3757,130.0
898.73505,74.0
899.09454,133.0
899.45416,103.0
899.81396,71.0
900.1739,171.0
900.53394,81.0
900.89417,100.0
901.2545,177.0
901.615,58.0
901.97565,108.0
902.3364,136.0
902.6974,51.0
903.0585,114.0
903.4197,132.0
903.78107,84.0
904.1426,152.0
904.5042,125.0
904.866,80.0
905.22797,186.0
905.5901,73.0
905.95233,103.0
906.3147,181.0
906.67725,53.0
907.0399,109.0
907.4027,136.0
907.7657,43.0
908.1288,126.0
908.49207,106.0
908.85547,67.0
909.219,175.0
909.5827,79.0
909.94653,91.0
910.3105,143.0
910.6746,61.0
911.0389,128.0
911.4033,115.0
911.7679,59.0
912.13257,120.0
912.49744,104.0
912.8624,65.0
913.2276,165.0
913.5929,61.0
913.9583,87.0
914.3239,145.0
914.68964,57.0
915.05554,141.0
915.4216,113.0
915.7877,60.0
916.15405,145.0
916.5205,97.0
916.88715,82.0
917.2539,181.0
917.6208,45.0
917.98785,100.0
918.35504,177.0
918.7224,51.0
919.0899,124.0
919.4575,118.0
919.8253,88.0
920.19324,216.0
920.56134,68.0
920.92957,97.0
921.2979,176.0
921.66644,57.0
922.0351,141.0
922.40393,150.0
922.7729,66.0
923.14197,155.0
923.5112,111.0
923.8806,92.0
924.2502,139.0
924.6199,63.0
924.98975,118.0
925.35974,139.0
925.72986,40.0
926.10016,127.0
926.4706,108.0
926.8412,75.0
927.2119,148.0
927.5828,76.0
927.95386,84.0
928.325,137.0
928.69635,62.0
929.0678,140.0
929.43945,134.0
929.8112,66.0
930.18317,116.0
930.55524,89.0
930.9274,69.0
931.2998,132.0
931.6723,58.0
932.045,103.0
932.4178,116.0
932.7908,50.0
933.1639,134.0
933.5372,94.0
933.9106,84.0
934.2841,181.0
934.65784,57.0
935.0317,90.0
935.4057,124.0
935.77985,39.0
936.1542,112.0
936.5286,69.0
936.90326,85.0
937.278,155.0
937.65295,59.0
938.028,115.0
938.4032,141.0
938.77856,54.0
939.15405,128.0
939.5297,73.0
939.9055,84.0
940.2815,134.0
940.6576,63.0
941.0339,109.0
941.4103,107.0
941.78687,62.0
942.1636,110.0
942.54047,79.0
942.9175,91.0
943.2947,128.0
943.672,55.0
944.04944,116.0
944.42706,105.0
944.8048,54.0
945.18274,144.0
945.5608,74.0
945.939,99.0
946.3174,146.0
946.6959,61.0
947.0746,113.0
947.4534,111.0
947.8324,60.0
948.21155,167.0
948.5908,53.0
948.9703,77.0
949.34985,168.0
949.7296,50.0
950.1095,132.0
950.48956,93.0
950.86975,57.0
951.2501,147.0
951.6306,62.0
952.0113,92.0
952.3921,120.0
952.7731,69.0
953.1542,134.0
953.53546,95.0
953.9169,66.0
954.29846,150.0
954.6802,58.0
955.0621,114.0
955.4441,149.0
955.8263,73.0
956.2086,131.0
956.5911,67.0
956.97375,95.0
957.35657,131.0
957.7395,52.0
958.1226,109.0
958.50586,103.0
958.8893,72.0
959.2728,120.0
959.65656,47.0
960.0404,108.0
960.42444,111.0
960.8086,56.0
961.19293,139.0
961.5774,78.0
961.96204,113.0
962.3468,137.0
962.73175,56.0
963.1168,104.0
963.5021,86.0
963.88745,103.0
964.273,131.0
964.6587,56.0
965.04456,121.0
965.4306,127.0
965.8168,86.0
966.2031,132.0
966.5896,66.0
966.97626,97.0
967.36304,113.0
967.75,75.0
968.1371,135.0
968.52435,93.0
968.91174,90.0
969.2993,150.0
969.687,58.0
970.0749,156.0
970.4629,156.0
970.8511,88.0
971.23944,157.0
971.6279,77.0
972.0166,86.0
972.4054,147.0
972.7944,69.0
973.1835,149.0
973.57275,91.0
973.96216,68.0
974.35175,129.0
974.7415,51.0
975.1314,112.0
975.5215,117.0
975.9117,69.0
976.30206,121.0
976.69257,51.0
977.08325,84.0
977.47406,121.0
977.86505,67.0
978.2562,155.0
978.6475,50.0
979.039,105.0
979.4306,121.0
979.8224,78.0
980.2143,114.0
980.6064,66.0
980.99866,98.0
981.39105,97.0
981.7836,80.0
982.17633,183.0
982.5692,72.0
982.9622,119.0
983.3554,140.0
983.7488,88.0
984.1423,187.0
984.53595,94.0
984.92975,124.0
985.3237,130.0
985.71783,71.0
986.1121,160.0
986.5066,92.0
986.9012,103.0
987.29596,143.0
987.69086,79.0
988.08594,131.0
988.4812,124.0
988.8766,76.0
989.27216,118.0
989.66785,65.0
990.0637,120.0
990.4597,88.0
990.8559,76.0
991.25226,131.0
991.64874,51.0
992.0454,120.0
992.4422,109.0
992.8392,81.0
993.2363,106.0
993.6336,62.0
994.03107,123.0
994.42865,116.0
994.8264,91.0
995.22437,144.0
995.62244,71.0
996.0207,90.0
996.4191,109.0
996.8177,64.0
997.21643,147.0
997.6153,56.0
998.01434,92.0
998.4136,123.0
998.8129,59.0
999.21246,122.0
999.6121,61.0
1000.01196,153.0
1000.412,154.0
1000.81213,86.0
1001.21246,114.0
1001.613,82.0
1002.0136,145.0
1002.4144,136.0
1002.81537,73.0
1003.2165,130.0
1003.6178,90.0
1004.0192,98.0
1004.42084,124.0
1004.82263,67.0
1005.22455,138.0
1005.62665,93.0
1006.0289,227.0
1006.4313,132.0
1006.83386,120.0
1007.2366,156.0
1007.63947,86.0
1008.04254,303.0
1008.44574,115.0
1008.8491,187.0
1009.2527,135.0
1009.6564,72.0
1010.06024,166.0
1010.4643,107.0
1010.86847,106.0
1011.2728,138.0
1011.6773,61.0
1012.082,135.0
1012.4868,100.0
1012.8918,96.0
1013.29694,112.0
1013.7023,92.0
1014.1077,237.0
1014.51337,97.0
1014.9192,185.0
1015.32513,136.0
1015.73126,84.0
1016.1376,153.0
1016.544,101.0
1016.9506,85.0
1017.3574,125.0
1017.76434,59.0
1018.17145,105.0
1018.57874,86.0
1018.98615,67.0
1019.39374,122.0
1019.8015,72.0
1020.2094,105.0
1020.6175,67.0
1021.02576,105.0
1021.43414,144.0
1021.8427,110.0
1022.25146,166.0
1022.66034,84.0
1023.0694,126.0
1023.47864,131.0
1023.888,120.0
1024.2976,121.0
1024.7073,75.0
1025.1172,128.0
1025.5272,128.0
1025.9374,114.0
1026.3478,134.0
1026.7583,80.0
1027.169,119.0
1027.5798,98.0
1027.9908,218.0
1028.4021,113.0
1028.8135,130.0
1029.225,133.0
1029.6367,119.0
1030.0486,443.0
1030.4606,122.0
1030.8728,258.0
1031.2852,141.0
1031.6976,95.0
1032.1104,168.0
1032.5232,97.0
1032.9362,102.0
1033.3494,121.0
1033.7627,123.0
1034.1761,140.0
1034.5898,83.0
1035.0037,129.0
1035.4177,120.0
1035.8319,111.0
1036.2462,124.0
1036.6608,76.0
1037.0754,111.0
1037.4902,131.0
1037.9053,84.0
1038.3204,126.0
1038.7357,58.0
1039.1512,112.0
1039.5669,96.0
1039.9827,80.0
1040.3987,119.0
1040.8148,63.0
1041.2312,106.0
1041.6477,81.0
1042.0643,108.0
1042.4812,97.0
1042.8982,80.0
1043.3153,135.0
1043.7327,185.0
1044.1501,168.0
1044.5677,103.0
1044.9856,189.0
1045.4036,116.0
1045.8218,172.0
1046.2401,148.0
1046.6586,77.0
1047.0773,135.0
1047.4961,127.0
1047.915,118.0
1048.3342,151.0
1048.7535,77.0
1049.1731,118.0
1049.5928,117.0
1050.0126,336.0
1050.4326,119.0
1050.8528,218.0
1051.2731,131.0
1051.6936,110.0
1052.1143,195.0
1052.5352,97.0
1052.9562,130.0
1053.3773,145.0
1053.7987,186.0
1054.2202,140.0
1054.6418,80.0
1055.0637,137.0
1055.4857,108.0
1055.908,100.0
1056.3303,131.0
1056.7528,69.0
1057.1755,132.0
1057.5984,120.0
1058.0215,95.0
1058.4447,126.0
1058.868,74.0
1059.2916,153.0
1059.7153,159.0
1060.1392,146.0
1060.5632,141.0
1060.9874,162.0
1061.4119,155.0
1061.8364,126.0
1062.2611,119.0
1062.686,77.0
1063.1111,120.0
1063.5364,121.0
1063.9618,109.0
1064.3873,113.0
1064.8131,81.0
1065.239,146.0
1065.6652,243.0
1066.0914,388.0
1066.5178,104.0
1066.9445,306.0
1067.3712,138.0
1067.7982,192.0
1068.2253,128.0
1068.6526,91.0
1069.0801,131.0
1069.5077,102.0
1069.9355,101.0
1070.3635,116.0
1070.7916,86.0
1071.22,110.0
1071.6484,112.0
1072.0771,174.0
1072.506,111.0
1072.9349,107.0
1073.3641,160.0
1073.7935,103.0
1074.223,124.0
1074.6527,84.0
1075.0825,96.0
1075.5126,129.0
1075.9427,82.0
1076.3732,116.0
1076.8037,83.0
1077.2344,105.0
1077.6653,68.0
1078.0963,129.0
1078.5276,97.0
1078.959,98.0
1079.3906,112.0
1079.8224,74.0
1080.2543,120.0
1080.6864,68.0
1081.1187,101.0
1081.5511,85.0
1081.9838,177.0
1082.4165,107.0
1082.8495,112.0
1083.2826,114.0
1083.716,85.0
1084.1494,98.0
1084.5831,107.0
1085.017,91.0
1085.4509,119.0
1085.8851,96.0
1086.3195,114.0
1086.754,81.0
1087.1887,123.0
1087.6235,123.0
1088.0586,114.0
1088.4938,110.0
1088.9292,105.0
1089.3647,122.0
1089.8005,93.0
1090.2365,206.0
1090.6725,105.0
1091.1088,127.0
1091.5452,118.0
1091.9818,109.0
1092.4186,126.0
1092.8556,76.0
1093.2927,136.0
1093.7301,74.0
1094.1676,93.0
1094.6052,79.0
1095.0431,101.0
1095.4811,125.0
1095.9193,89.0
1096.3577,123.0
1096.7963,71.0
1097.235,112.0
1097.6738,100.0
1098.1129,92.0
1098.5521,102.0
1098.9916,86.0
1099.4312,101.0
1099.871,99.0
1100.3109,121.0
1100.751,65.0
1101.1913,126.0
1101.6317,105.0
1102.0724,73.0
1102.5132,114.0
1102.9542,82.0
1103.3954,136.0
1103.8368,88.0
1104.2783,129.0
1104.72,79.0
1105.1619,116.0
1105.6039,101.0
1106.0461,82.0
1106.4885,112.0
1106.9312,81.0
1107.3739,122.0
1107.8169,67.0
1108.26,107.0
1108.7034,68.0
1109.1469,108.0
1109.5905,104.0
1110.0343,99.0
1110.4783,129.0
1110.9225,85.0
1111.3668,137.0
1111.8114,68.0
1112.2561,94.0
1112.701,67.0
1113.1461,113.0
1113.5914,87.0
1114.0369,98.0
1114.4824,92.0
1114.9282,94.0
1115.3741,105.0
1115.8203,96.0
1116.2666,115.0
1116.7131,84.0
1117.1598,106.0
1117.6067,81.0
1118.0537,93.0
1118.501,108.0
1118.9484,79.0
1119.396,112.0
1119.8438,86.0
1120.2917,112.0
1120.7399,60.0
1121.1881,102.0
1121.6366,82.0
1122.0852,91.0
1122.534,99.0
1122.983,102.0
1123.4323,124.0
1123.8816,63.0
1124.3312,95.0
1124.7809,69.0
1125.2308,111.0
1125.6809,69.0
1126.1312,93.0
