M/Z,Intensity
800.0,71.0
800.32,127.0
800.64014,38.0
800.9604,91.0
801.28076,346.0
801.60126,73.0
801.9219,57.0
802.2426,197.0
802.56354,76.0
802.8846,108.0
803.20575,142.0
803.52704,58.0
803.84845,56.0
804.17,124.0
804.49164,72.0
804.8134,35.0
805.1353,122.0
805.4574,92.0
805.7796,34.0
806.1019,101.0
806.4244,121.0
806.74695,38.0
807.06964,99.0
807.39246,118.0
807.7154,38.0
808.03845,92.0
808.3617,137.0
808.68506,40.0
809.00854,75.0
809.33215,157.0
809.6559,44.0
809.97974,77.0
810.3037,134.0
810.6278,48.0
810.9521,86.0
811.2765,113.0
811.601,31.0
811.92566,60.0
812.2504,128.0
812.5753,44.0
812.9003,65.0
813.22546,141.0
813.5508,45.0
813.8762,37.0
814.2018,121.0
814.52747,65.0
814.8533,50.0
815.1792,137.0
815.50525,84.0
815.8314,35.0
816.1578,113.0
816.48425,90.0
816.81085,87.0
817.1376,110.0
817.4644,97.0
817.7914,49.0
818.11847,101.0
818.44574,66.0
818.77313,47.0
819.10065,96.0
819.4283,84.0
819.75604,37.0
820.0839,99.0
820.412,101.0
820.7402,36.0
821.0685,71.0
821.3969,111.0
821.72546,40.0
822.05414,64.0
822.38293,106.0
822.7119,48.0
823.041,122.0
823.37024,115.0
823.6996,45.0
824.02905,89.0
824.35864,110.0
824.6884,100.0
825.0183,923.0
825.3483,151.0
825.67847,55.0
826.0087,460.0
826.3391,130.0
826.6696,44.0
827.0003,165.0
827.3311,132.0
827.66205,37.0
827.9931,99.0
828.3243,121.0
828.65564,41.0
828.9871,52.0
829.3187,135.0
829.65045,41.0
829.9823,58.0
830.3143,122.0
830.6464,35.0
830.9787,72.0
831.3111,114.0
831.6436,39.0
831.97626,68.0
832.309,113.0
832.64197,38.0
832.97504,76.0
833.3082,93.0
833.64154,38.0
833.975,56.0
834.3086,95.0
834.64233,38.0
834.9762,81.0
835.3102,108.0
835.6443,39.0
835.9785,60.0
836.3129,126.0
836.64746,53.0
836.9821,81.0
837.3169,128.0
837.6518,50.0
837.9869,68.0
838.3221,91.0
838.6574,47.0
838.99286,161.0
839.3284,112.0
839.6642,37.0
840.00006,125.0
840.33606,141.0
840.6722,53.0
841.0084,245.0
841.34485,110.0
841.6814,45.0
842.01807,131.0
842.35486,136.0
842.6918,39.0
843.0289,117.0
843.3661,108.0
843.7034,42.0
844.0409,73.0
844.37854,118.0
844.7163,48.0
845.0542,163.0
845.3922,251.0
845.73035,64.0
846.06866,135.0
846.4071,178.0
846.74567,58.0
847.08435,114.0
847.42316,112.0
847.76215,56.0
848.10126,108.0
848.4405,84.0
848.77985,40.0
849.1194,89.0
849.45905,75.0
849.7988,30.0
850.13873,76.0
850.47876,77.0
850.819,36.0
851.1593,81.0
851.49976,68.0
851.84033,42.0
852.1811,89.0
852.522,61.0
852.863,47.0
853.2041,86.0
853.5454,69.0
853.88684,58.0
854.2284,100.0
854.57007,57.0
854.9119,172.0
855.2539,124.0
855.596,46.0
855.93823,98.0
856.2806,117.0
856.6231,63.0
856.96576,105.0
857.30853,91.0
857.6514,44.0
857.9945,87.0
858.3377,142.0
858.681,43.0
859.0245,96.0
859.3681,115.0
859.71185,41.0
860.0557,76.0
860.3997,102.0
860.7439,194.0
861.0882,338.0
861.4326,158.0
861.77716,146.0
862.1219,181.0
862.46674,102.0
862.8117,86.0
863.15686,123.0
863.50214,76.0
863.84753,73.0
864.19305,113.0
864.53876,69.0
864.8846,77.0
865.2305,96.0
865.5766,68.0
865.92285,56.0
866.2692,117.0
866.6157,50.0
866.96234,88.0
867.30914,105.0
867.65607,46.0
868.0031,75.0
868.35034,111.0
868.6977,39.0
869.04517,59.0
869.39276,88.0
869.74054,37.0
870.08844,94.0
870.43646,84.0
870.7846,40.0
871.13293,68.0
871.4814,62.0
871.82996,49.0
872.1787,83.0
872.5276,61.0
872.8766,68.0
873.2257,126.0
873.575,47.0
873.92444,50.0
874.274,112.0
874.6237,49.0
874.9736,50.0
875.32355,122.0
875.6737,34.0
876.024,67.0
876.3744,114.0
876.7249,106.0
877.0756,147.0
877.42645,131.0
877.7774,79.0
878.12854,98.0
878.4798,80.0
878.8312,69.0
879.18274,105.0
879.5344,71.0
879.8862,44.0
880.23816,112.0
880.5903,51.0
880.9425,49.0
881.29486,107.0
881.6474,42.0
882.00006,60.0
882.35284,120.0
882.7058,42.0
883.0589,81.0
883.4121,106.0
883.7655,46.0
884.119,71.0
884.47266,86.0
884.8264,37.0
885.18036,94.0
885.5344,66.0
885.8886,56.0
886.243,102.0
886.5975,41.0
886.9521,55.0
887.3069,106.0
887.6618,45.0
888.01685,56.0
888.3721,107.0
888.7274,39.0
889.0829,90.0
889.43854,173.0
889.7943,42.0
890.1502,82.0
890.5063,129.0
890.8625,43.0
891.2188,120.0
891.5753,77.0
891.93195,49.0
892.2887,117.0
892.6456,40.0
893.0027,62.0
893.35986,93.0
893.7172,35.0
894.0747,65.0
894.4323,98.0
894.7901,48.0
895.148,110.0
895.50604,76.0
895.86426,37.0
896.2226,103.0
896.58105,43.0
896.9397,44.0
897.29846,91.0
897.6574,44.0
898.0165,44.0
898.3757,101.0
898.73505,44.0
899.09454,78.0
899.45416,88.0
899.81396,38.0
900.1739,87.0
900.53394,67.0
900.89417,45.0
901.2545,106.0
901.615,39.0
901.97565,66.0
902.3364,91.0
902.6974,37.0
903.0585,62.0
903.4197,122.0
903.78107,69.0
904.1426,99.0
904.5042,88.0
904.866,58.0
905.22797,105.0
905.5901,59.0
905.95233,44.0
906.3147,122.0
906.67725,37.0
907.0399,60.0
907.4027,91.0
907.7657,31.0
908.1288,75.0
908.49207,105.0
908.85547,40.0
909.219,100.0
909.5827,44.0
909.94653,48.0
910.3105,99.0
910.6746,46.0
911.0389,57.0
911.4033,88.0
911.7679,33.0
912.13257,79.0
912.49744,90.0
912.8624,35.0
913.2276,90.0
913.5929,58.0
913.9583,46.0
914.3239,99.0
914.68964,56.0
915.05554,66.0
915.4216,85.0
915.7877,36.0
916.15405,86.0
916.5205,85.0
916.88715,42.0
917.2539,105.0
917.6208,54.0
917.98785,53.0
918.35504,123.0
918.7224,31.0
919.0899,66.0
919.4575,83.0
919.8253,36.0
920.19324,91.0
920.56134,39.0
920.92957,45.0
921.2979,137.0
921.66644,33.0
922.0351,68.0
922.40393,107.0
922.7729,33.0
923.14197,84.0
923.5112,86.0
923.8806,42.0
924.2502,89.0
924.6199,35.0
924.98975,44.0
925.35974,117.0
925.72986,38.0
926.10016,77.0
926.4706,65.0
926.8412,31.0
927.2119,92.0
927.5828,44.0
927.95386,45.0
928.325,85.0
928.69635,33.0
929.0678,79.0
929.43945,94.0
929.8112,46.0
930.18317,95.0
930.55524,69.0
930.9274,36.0
931.2998,88.0
931.6723,30.0
932.045,50.0
932.4178,76.0
932.7908,43.0
933.1639,106.0
933.5372,113.0
933.9106,48.0
934.2841,128.0
934.65784,49.0
935.0317,47.0
935.4057,97.0
935.77985,29.0
936.1542,73.0
936.5286,61.0
936.90326,43.0
937.278,117.0
937.65295,55.0
938.028,53.0
938.4032,79.0
938.77856,36.0
939.15405,89.0
939.5297,65.0
939.9055,44.0
940.2815,101.0
940.6576,35.0
941.0339,71.0
941.4103,90.0
941.78687,31.0
942.1636,85.0
942.54047,54.0
942.9175,46.0
943.2947,96.0
943.672,39.0
944.04944,55.0
944.42706,83.0
944.8048,33.0
945.18274,101.0
945.5608,53.0
945.939,45.0
946.3174,89.0
946.6959,31.0
947.0746,61.0
947.4534,79.0
947.8324,31.0
948.21155,86.0
948.5908,44.0
948.9703,46.0
949.34985,89.0
949.7296,49.0
950.1095,76.0
950.48956,65.0
950.86975,44.0
951.2501,77.0
951.6306,55.0
952.0113,57.0
952.3921,94.0
952.7731,36.0
953.1542,88.0
953.53546,60.0
953.9169,46.0
954.29846,102.0
954.6802,42.0
955.0621,70.0
955.4441,118.0
955.8263,48.0
956.2086,93.0
956.5911,42.0
956.97375,49.0
957.35657,89.0
957.7395,29.0
958.1226,67.0
958.50586,74.0
958.8893,45.0
959.2728,104.0
959.65656,41.0
960.0404,54.0
960.42444,79.0
960.8086,29.0
961.19293,79.0
961.5774,54.0
961.96204,41.0
962.3468,83.0
962.73175,35.0
963.1168,67.0
963.5021,90.0
963.88745,44.0
964.273,102.0
964.6587,37.0
965.04456,73.0
965.4306,98.0
965.8168,39.0
966.2031,71.0
966.5896,49.0
966.97626,43.0
967.36304,93.0
967.75,42.0
968.1371,70.0
968.52435,88.0
968.91174,41.0
969.2993,110.0
969.687,41.0
970.0749,87.0
970.4629,103.0
970.8511,49.0
971.23944,89.0
971.6279,63.0
972.0166,53.0
972.4054,91.0
972.7944,35.0
973.1835,78.0
