M/Z,Intensity
800.0,221.0
800.32,203.0
800.64014,50.0
800.9604,229.0
801.28076,340.0
801.60126,72.0
801.9219,151.0
802.2426,274.0
802.56354,83.0
802.8846,329.0
803.20575,280.0
803.52704,73.0
803.84845,143.0
804.17,266.0
804.49164,68.0
804.8134,68.0
805.1353,230.0
805.4574,93.0
805.7796,70.0
806.1019,227.0
806.4244,134.0
806.74695,42.0
807.06964,211.0
807.39246,151.0
807.7154,40.0
808.03845,218.0
808.3617,181.0
808.68506,40.0
809.00854,235.0
809.33215,215.0
809.6559,45.0
809.97974,197.0
810.3037,216.0
810.6278,59.0
810.9521,224.0
811.2765,222.0
811.601,58.0
811.92566,154.0
812.2504,238.0
812.5753,53.0
812.9003,163.0
813.22546,262.0
813.5508,74.0
813.8762,113.0
814.2018,236.0
814.52747,71.0
814.8533,197.0
815.1792,289.0
815.50525,103.0
815.8314,99.0
816.1578,243.0
816.48425,95.0
816.81085,181.0
817.1376,335.0
817.4644,129.0
817.7914,65.0
818.11847,280.0
818.44574,112.0
818.77313,81.0
819.10065,249.0
819.4283,95.0
819.75604,41.0
820.0839,223.0
820.412,92.0
820.7402,58.0
821.0685,255.0
821.3969,134.0
821.72546,44.0
822.05414,200.0
822.38293,145.0
822.7119,54.0
823.041,327.0
823.37024,143.0
823.6996,49.0
824.02905,261.0
824.35864,185.0
824.6884,317.0
825.0183,4259.0
825.3483,246.0
825.67847,133.0
826.0087,1780.0
826.3391,220.0
826.6696,70.0
827.0003,640.0
827.3311,166.0
827.66205,45.0
827.9931,236.0
828.3243,180.0
828.65564,49.0
828.9871,177.0
829.3187,214.0
829.65045,46.0
829.9823,145.0
830.3143,197.0
830.6464,39.0
830.9787,227.0
831.3111,193.0
831.6436,33.0
831.97626,190.0
832.309,181.0
832.64197,39.0
832.97504,184.0
833.3082,231.0
833.64154,47.0
833.975,172.0
834.3086,173.0
834.64233,38.0
834.9762,190.0
835.3102,167.0
835.6443,42.0
835.9785,167.0
836.3129,176.0
836.64746,52.0
836.9821,372.0
837.3169,167.0
837.6518,45.0
837.9869,257.0
838.3221,155.0
838.6574,93.0
838.99286,730.0
839.3284,176.0
839.6642,76.0
840.00006,446.0
840.33606,194.0
840.6722,103.0
841.0084,827.0
841.34485,181.0
841.6814,77.0
842.01807,409.0
842.35486,210.0
842.6918,60.0
843.0289,334.0
843.3661,184.0
843.7034,50.0
844.0409,186.0
844.37854,146.0
844.7163,66.0
845.0542,371.0
845.3922,286.0
845.73035,62.0
846.06866,251.0
846.4071,169.0
846.74567,63.0
847.08435,228.0
847.42316,162.0
847.76215,62.0
848.10126,214.0
848.4405,121.0
848.77985,56.0
849.1194,193.0
849.45905,115.0
849.7988,58.0
850.13873,230.0
850.47876,101.0
850.819,61.0
851.1593,227.0
851.49976,89.0
851.84033,70.0
852.1811,198.0
852.522,87.0
852.863,114.0
853.2041,212.0
853.5454,65.0
853.88684,136.0
854.2284,220.0
854.57007,78.0
854.9119,858.0
855.2539,232.0
855.596,84.0
855.93823,470.0
856.2806,211.0
856.6231,67.0
856.96576,359.0
857.30853,219.0
857.6514,66.0
857.9945,249.0
858.3377,148.0
858.681,53.0
859.0245,327.0
859.3681,167.0
859.71185,60.0
860.0557,230.0
860.3997,158.0
860.7439,743.0
861.0882,1341.0
861.4326,177.0
861.77716,514.0
862.1219,528.0
862.46674,147.0
862.8117,337.0
863.15686,288.0
863.50214,90.0
863.84753,204.0
864.19305,186.0
864.53876,85.0
864.8846,151.0
865.2305,167.0
865.5766,55.0
865.92285,129.0
866.2692,201.0
866.6157,65.0
866.96234,270.0
867.30914,171.0
867.65607,51.0
868.0031,164.0
868.35034,155.0
868.6977,37.0
869.04517,165.0
869.39276,119.0
869.74054,39.0
870.08844,154.0
870.43646,99.0
870.7846,110.0
871.13293,171.0
871.4814,84.0
871.82996,72.0
872.1787,156.0
872.5276,75.0
872.8766,264.0
873.2257,231.0
873.575,76.0
873.92444,175.0
874.274,200.0
874.6237,51.0
874.9736,172.0
875.32355,182.0
875.6737,38.0
876.024,163.0
876.3744,197.0
876.7249,330.0
877.0756,385.0
877.42645,193.0
877.7774,237.0
878.12854,255.0
878.4798,124.0
878.8312,181.0
879.18274,194.0
879.5344,80.0
879.8862,133.0
880.23816,188.0
880.5903,45.0
880.9425,138.0
881.29486,154.0
881.6474,45.0
882.00006,188.0
882.35284,172.0
882.7058,76.0
883.0589,192.0
883.4121,136.0
883.7655,55.0
884.119,206.0
884.47266,106.0
884.8264,71.0
885.18036,198.0
885.5344,90.0
885.8886,85.0
886.243,173.0
886.5975,63.0
886.9521,115.0
887.3069,142.0
887.6618,39.0
888.01685,134.0
888.3721,114.0
888.7274,65.0
889.0829,194.0
889.43854,199.0
889.7943,56.0
890.1502,185.0
890.5063,194.0
890.8625,96.0
891.2188,220.0
891.5753,93.0
891.93195,107.0
892.2887,211.0
892.6456,62.0
893.0027,208.0
893.35986,166.0
893.7172,40.0
894.0747,159.0
894.4323,127.0
894.7901,119.0
895.148,215.0
895.50604,87.0
895.86426,95.0
896.2226,154.0
896.58105,49.0
896.9397,144.0
897.29846,146.0
897.6574,48.0
898.0165,149.0
898.3757,129.0
898.73505,74.0
899.09454,179.0
899.45416,132.0
899.81396,85.0
900.1739,215.0
900.53394,82.0
900.89417,88.0
901.2545,191.0
901.615,41.0
901.97565,135.0
902.3364,145.0
902.6974,36.0
903.0585,162.0
903.4197,151.0
903.78107,62.0
904.1426,189.0
904.5042,143.0
904.866,97.0
905.22797,239.0
905.5901,72.0
905.95233,122.0
906.3147,190.0
906.67725,40.0
