M/Z,Intensity
800.0,200.0
800.32,273.0
800.64014,112.0
800.9604,269.0
801.28076,532.0
801.60126,199.0
801.9219,162.0
802.2426,341.0
802.56354,175.0
802.8846,205.0
803.20575,309.0
803.52704,178.0
803.84845,146.0
804.17,270.0
804.49164,181.0
804.8134,107.0
805.1353,246.0
805.4574,225.0
805.7796,113.0
806.1019,227.0
806.4244,303.0
806.74695,124.0
807.06964,214.0
807.39246,326.0
807.7154,109.0
808.03845,202.0
808.3617,324.0
808.68506,113.0
809.00854,178.0
809.33215,367.0
809.6559,120.0
809.97974,156.0
810.3037,319.0
810.6278,178.0
810.9521,164.0
811.2765,296.0
811.601,132.0
811.92566,153.0
812.2504,303.0
812.5753,144.0
812.9003,164.0
813.22546,273.0
813.5508,142.0
813.8762,125.0
814.2018,259.0
814.52747,180.0
814.8533,148.0
815.1792,248.0
815.50525,216.0
815.8314,114.0
816.1578,239.0
816.48425,199.0
816.81085,167.0
817.1376,263.0
817.4644,216.0
817.7914,114.0
818.11847,238.0
818.44574,218.0
818.77313,137.0
819.10065,250.0
819.4283,223.0
819.75604,116.0
820.0839,191.0
820.412,237.0
820.7402,101.0
821.0685,205.0
821.3969,249.0
821.72546,100.0
822.05414,185.0
822.38293,205.0
822.7119,117.0
823.041,273.0
823.37024,268.0
823.6996,99.0
824.02905,218.0
824.35864,299.0
824.6884,203.0
825.0183,1465.0
825.3483,297.0
825.67847,136.0
826.0087,796.0
826.3391,301.0
826.6696,136.0
827.0003,342.0
827.3311,250.0
827.66205,109.0
827.9931,200.0
828.3243,256.0
828.65564,139.0
828.9871,173.0
829.3187,277.0
829.65045,113.0
829.9823,147.0
830.3143,265.0
830.6464,115.0
830.9787,177.0
831.3111,228.0
831.6436,110.0
831.97626,174.0
832.309,276.0
832.64197,121.0
832.97504,152.0
833.3082,249.0
833.64154,147.0
833.975,174.0
834.3086,305.0
834.64233,138.0
834.9762,182.0
835.3102,286.0
835.6443,154.0
835.9785,187.0
836.3129,288.0
836.64746,130.0
836.9821,182.0
837.3169,294.0
837.6518,126.0
837.9869,180.0
838.3221,268.0
838.6574,149.0
838.99286,404.0
839.3284,323.0
