M/Z,Intensity
800.0,175.0
800.32,280.0
800.64014,131.0
800.9604,233.0
801.28076,315.0
801.60126,126.0
801.9219,179.0
802.2426,270.0
802.56354,158.0
802.8846,428.0
803.20575,360.0
803.52704,167.0
803.84845,191.0
804.17,339.0
804.49164,202.0
804.8134,132.0
805.1353,301.0
805.4574,196.0
805.7796,89.0
806.1019,243.0
806.4244,334.0
806.74695,108.0
807.06964,226.0
807.39246,296.0
807.7154,94.0
808.03845,204.0
808.3617,339.0
808.68506,124.0
809.00854,206.0
809.33215,335.0
809.6559,131.0
809.97974,165.0
810.3037,341.0
810.6278,154.0
810.9521,195.0
811.2765,281.0
811.601,132.0
811.92566,148.0
812.2504,288.0
812.5753,184.0
812.9003,182.0
813.22546,285.0
813.5508,165.0
813.8762,123.0
814.2018,270.0
814.52747,175.0
814.8533,144.0
815.1792,275.0
815.50525,164.0
815.8314,103.0
816.1578,247.0
816.48425,174.0
816.81085,183.0
817.1376,332.0
817.4644,165.0
817.7914,108.0
818.11847,260.0
818.44574,177.0
818.77313,130.0
819.10065,230.0
819.4283,202.0
819.75604,95.0
820.0839,232.0
820.412,205.0
820.7402,106.0
821.0685,219.0
821.3969,219.0
821.72546,100.0
822.05414,192.0
822.38293,198.0
822.7119,98.0
823.041,308.0
823.37024,223.0
823.6996,115.0
824.02905,265.0
824.35864,273.0
824.6884,296.0
825.0183,4054.0
825.3483,357.0
825.67847,173.0
826.0087,1820.0
826.3391,301.0
826.6696,131.0
827.0003,661.0
827.3311,244.0
827.66205,113.0
827.9931,264.0
828.3243,240.0
828.65564,106.0
828.9871,155.0
829.3187,233.0
829.65045,92.0
829.9823,168.0
830.3143,255.0
830.6464,96.0
830.9787,149.0
831.3111,242.0
831.6436,108.0
831.97626,166.0
832.309,213.0
832.64197,126.0
832.97504,178.0
833.3082,272.0
833.64154,98.0
833.975,166.0
834.3086,259.0
834.64233,149.0
834.9762,184.0
835.3102,239.0
835.6443,136.0
835.9785,151.0
836.3129,255.0
836.64746,106.0
836.9821,212.0
837.3169,253.0
837.6518,102.0
837.9869,185.0
838.3221,273.0
838.6574,116.0
838.99286,667.0
839.3284,288.0
839.6642,138.0
840.00006,400.0
840.33606,282.0
840.6722,148.0
841.0084,898.0
841.34485,260.0
841.6814,101.0
842.01807,492.0
842.35486,298.0
842.6918,116.0
843.0289,346.0
843.3661,243.0
843.7034,108.0
844.0409,191.0
844.37854,234.0
844.7163,151.0
845.0542,510.0
845.3922,269.0
845.73035,116.0
846.06866,338.0
846.4071,206.0
846.74567,123.0
847.08435,276.0
847.42316,176.0
847.76215,106.0
848.10126,225.0
848.4405,166.0
848.77985,125.0
849.1194,187.0
849.45905,182.0
849.7988,78.0
850.13873,206.0
850.47876,151.0
850.819,102.0
851.1593,214.0
851.49976,172.0
851.84033,90.0
852.1811,230.0
852.522,161.0
852.863,116.0
853.2041,217.0
853.5454,156.0
853.88684,125.0
854.2284,236.0
854.57007,155.0
854.9119,447.0
855.2539,252.0
855.596,106.0
855.93823,278.0
856.2806,241.0
856.6231,131.0
856.96576,265.0
857.30853,237.0
857.6514,118.0
857.9945,211.0
858.3377,274.0
858.681,101.0
859.0245,254.0
859.3681,230.0
859.71185,104.0
860.0557,217.0
860.3997,221.0
860.7439,408.0
861.0882,1061.0
861.4326,244.0
861.77716,324.0
862.1219,477.0
862.46674,216.0
862.8117,230.0
863.15686,274.0
863.50214,187.0
863.84753,167.0
864.19305,214.0
864.53876,187.0
864.8846,153.0
865.2305,248.0
865.5766,142.0
865.92285,150.0
866.2692,259.0
866.6157,99.0
866.96234,240.0
867.30914,237.0
867.65607,97.0
868.0031,172.0
868.35034,206.0
868.6977,115.0
869.04517,175.0
869.39276,202.0
869.74054,76.0
870.08844,142.0
870.43646,193.0
870.7846,116.0
871.13293,218.0
871.4814,149.0
871.82996,109.0
872.1787,167.0
872.5276,141.0
872.8766,175.0
873.2257,231.0
873.575,108.0
873.92444,142.0
874.274,245.0
874.6237,113.0
874.9736,118.0
875.32355,201.0
875.6737,108.0
876.024,172.0
876.3744,238.0
876.7249,185.0
877.0756,345.0
877.42645,262.0
877.7774,192.0
878.12854,242.0
878.4798,168.0
878.8312,164.0
879.18274,200.0
879.5344,158.0
879.8862,137.0
880.23816,276.0
880.5903,120.0
880.9425,144.0
881.29486,230.0
881.6474,87.0
882.00006,149.0
882.35284,226.0
882.7058,106.0
883.0589,184.0
883.4121,204.0
883.7655,95.0
884.119,161.0
884.47266,180.0
884.8264,103.0
885.18036,196.0
885.5344,154.0
885.8886,106.0
886.243,206.0
886.5975,121.0
886.9521,92.0
887.3069,207.0
887.6618,102.0
888.01685,126.0
888.3721,195.0
888.7274,93.0
889.0829,167.0
889.43854,209.0
889.7943,90.0
890.1502,180.0
890.5063,187.0
890.8625,93.0
891.2188,200.0
891.5753,130.0
891.93195,109.0
892.2887,227.0
892.6456,99.0
893.0027,170.0
893.35986,245.0
893.7172,98.0
894.0747,166.0
894.4323,217.0
894.7901,108.0
895.148,216.0
895.50604,165.0
895.86426,97.0
896.2226,189.0
896.58105,116.0
896.9397,119.0
897.29846,212.0
897.6574,93.0
898.0165,139.0
898.3757,192.0
898.73505,87.0
899.09454,174.0
899.45416,202.0
899.81396,92.0
900.1739,181.0
900.53394,125.0
900.89417,92.0
901.2545,252.0
901.615,107.0
901.97565,121.0
902.3364,195.0
902.6974,92.0
903.0585,170.0
