M/Z,Intensity
800.0,439.0
800.32,404.0
800.64014,218.0
800.9604,721.0
801.28076,642.0
801.60126,316.0
801.9219,333.0
802.2426,518.0
802.56354,253.0
802.8846,1119.0
803.20575,1008.0
803.52704,280.0
803.84845,357.0
804.17,829.0
804.49164,307.0
804.8134,165.0
805.1353,553.0
805.4574,309.0
805.7796,136.0
806.1019,486.0
806.4244,550.0
806.74695,158.0
807.06964,389.0
807.39246,453.0
807.7154,162.0
808.03845,303.0
808.3617,517.0
808.68506,180.0
809.00854,337.0
809.33215,477.0
809.6559,206.0
809.97974,272.0
810.3037,460.0
810.6278,255.0
810.9521,315.0
811.2765,524.0
811.601,215.0
811.92566,239.0
812.2504,510.0
812.5753,228.0
812.9003,280.0
813.22546,433.0
813.5508,243.0
813.8762,180.0
814.2018,439.0
814.52747,248.0
814.8533,205.0
815.1792,504.0
815.50525,286.0
815.8314,171.0
816.1578,379.0
816.48425,290.0
816.81085,418.0
817.1376,970.0
817.4644,324.0
817.7914,186.0
818.11847,635.0
818.44574,318.0
818.77313,177.0
819.10065,584.0
819.4283,304.0
819.75604,130.0
820.0839,391.0
820.412,302.0
820.7402,191.0
821.0685,488.0
821.3969,332.0
821.72546,144.0
822.05414,370.0
822.38293,342.0
822.7119,168.0
823.041,957.0
823.37024,401.0
823.6996,189.0
824.02905,721.0
824.35864,411.0
824.6884,825.0
825.0183,18059.0
825.3483,954.0
825.67847,385.0
826.0087,7695.0
826.3391,753.0
826.6696,245.0
827.0003,2322.0
827.3311,480.0
827.66205,168.0
827.9931,648.0
828.3243,458.0
828.65564,191.0
828.9871,339.0
829.3187,404.0
829.65045,159.0
829.9823,223.0
830.3143,359.0
830.6464,158.0
830.9787,282.0
831.3111,360.0
831.6436,150.0
831.97626,263.0
832.309,393.0
832.64197,180.0
832.97504,339.0
833.3082,415.0
833.64154,183.0
833.975,292.0
834.3086,435.0
834.64233,223.0
834.9762,329.0
835.3102,446.0
835.6443,178.0
835.9785,268.0
836.3129,435.0
836.64746,170.0
836.9821,495.0
837.3169,451.0
837.6518,138.0
837.9869,377.0
838.3221,420.0
838.6574,223.0
838.99286,2893.0
839.3284,549.0
839.6642,210.0
840.00006,1508.0
840.33606,473.0
840.6722,330.0
841.0084,3714.0
841.34485,465.0
