M/Z,Intensity
800.0,428.0
800.32,528.0
800.64014,270.0
800.9604,623.0
801.28076,716.0
801.60126,296.0
801.9219,392.0
802.2426,533.0
802.56354,312.0
802.8846,802.0
803.20575,537.0
803.52704,315.0
803.84845,368.0
804.17,543.0
804.49164,481.0
804.8134,211.0
805.1353,465.0
805.4574,419.0
805.7796,182.0
806.1019,423.0
806.4244,1130.0
806.74695,249.0
807.06964,392.0
807.39246,774.0
807.7154,208.0
808.03845,375.0
808.3617,1415.0
808.68506,276.0
809.00854,405.0
809.33215,888.0
809.6559,330.0
809.97974,301.0
810.3037,673.0
810.6278,450.0
810.9521,394.0
811.2765,427.0
811.601,367.0
811.92566,298.0
812.2504,488.0
812.5753,393.0
812.9003,297.0
813.22546,478.0
813.5508,293.0
813.8762,266.0
814.2018,437.0
814.52747,346.0
814.8533,255.0
815.1792,458.0
815.50525,354.0
815.8314,246.0
816.1578,437.0
816.48425,322.0
816.81085,372.0
817.1376,663.0
817.4644,317.0
817.7914,253.0
818.11847,527.0
818.44574,344.0
818.77313,201.0
819.10065,472.0
819.4283,336.0
819.75604,169.0
820.0839,405.0
820.412,374.0
820.7402,220.0
821.0685,409.0
821.3969,366.0
821.72546,179.0
822.05414,375.0
822.38293,356.0
822.7119,225.0
823.041,1417.0
823.37024,382.0
823.6996,208.0
824.02905,897.0
824.35864,459.0
824.6884,716.0
825.0183,8550.0
825.3483,608.0
825.67847,348.0
826.0087,3812.0
826.3391,541.0
826.6696,257.0
827.0003,1213.0
827.3311,416.0
827.66205,196.0
827.9931,473.0
828.3243,565.0
828.65564,192.0
828.9871,339.0
829.3187,493.0
829.65045,192.0
829.9823,254.0
830.3143,510.0
830.6464,180.0
830.9787,299.0
831.3111,388.0
831.6436,168.0
831.97626,306.0
832.309,482.0
832.64197,228.0
832.97504,315.0
833.3082,411.0
833.64154,194.0
833.975,300.0
834.3086,574.0
834.64233,363.0
834.9762,346.0
835.3102,475.0
835.6443,297.0
835.9785,338.0
836.3129,461.0
836.64746,235.0
836.9821,390.0
837.3169,363.0
837.6518,201.0
837.9869,323.0
838.3221,386.0
838.6574,283.0
838.99286,2429.0
839.3284,430.0
839.6642,222.0
840.00006,1232.0
840.33606,451.0
840.6722,292.0
841.0084,1755.0
841.34485,431.0
841.6814,247.0
842.01807,913.0
842.35486,485.0
842.6918,260.0
843.0289,674.0
843.3661,384.0
843.7034,182.0
844.0409,420.0
844.37854,353.0
844.7163,487.0
845.0542,2538.0
845.3922,544.0
845.73035,407.0
846.06866,1438.0
846.4071,473.0
846.74567,349.0
847.08435,869.0
847.42316,305.0
847.76215,240.0
848.10126,558.0
848.4405,323.0
848.77985,221.0
849.1194,414.0
849.45905,268.0
849.7988,188.0
850.13873,367.0
850.47876,277.0
850.819,201.0
851.1593,360.0
851.49976,254.0
851.84033,192.0
852.1811,368.0
852.522,269.0
852.863,212.0
853.2041,398.0
853.5454,243.0
853.88684,212.0
854.2284,407.0
854.57007,224.0
854.9119,1092.0
855.2539,415.0
855.596,221.0
855.93823,630.0
856.2806,463.0
856.6231,263.0
856.96576,819.0
857.30853,480.0
857.6514,205.0
857.9945,519.0
858.3377,398.0
858.681,174.0
859.0245,537.0
859.3681,432.0
859.71185,185.0
860.0557,408.0
860.3997,373.0
860.7439,1797.0
861.0882,3207.0
861.4326,402.0
861.77716,1227.0
862.1219,1236.0
862.46674,357.0
862.8117,721.0
863.15686,561.0
863.50214,302.0
863.84753,390.0
864.19305,406.0
864.53876,261.0
864.8846,390.0
865.2305,390.0
865.5766,227.0
865.92285,301.0
866.2692,483.0
866.6157,184.0
866.96234,504.0
867.30914,362.0
867.65607,178.0
868.0031,357.0
868.35034,337.0
868.6977,151.0
869.04517,369.0
869.39276,268.0
869.74054,157.0
870.08844,264.0
870.43646,308.0
870.7846,189.0
871.13293,329.0
871.4814,237.0
871.82996,194.0
872.1787,318.0
872.5276,247.0
872.8766,515.0
873.2257,381.0
873.575,227.0
873.92444,342.0
874.274,367.0
874.6237,197.0
874.9736,321.0
875.32355,357.0
875.6737,168.0
876.024,334.0
876.3744,395.0
876.7249,494.0
877.0756,747.0
877.42645,334.0
877.7774,446.0
878.12854,394.0
878.4798,288.0
878.8312,445.0
879.18274,333.0
879.5344,248.0
879.8862,288.0
880.23816,435.0
880.5903,192.0
880.9425,321.0
881.29486,337.0
881.6474,155.0
882.00006,306.0
882.35284,337.0
882.7058,179.0
883.0589,389.0
883.4121,307.0
883.7655,160.0
884.119,338.0
884.47266,297.0
884.8264,199.0
885.18036,336.0
885.5344,227.0
885.8886,213.0
886.243,338.0
886.5975,180.0
886.9521,213.0
887.3069,345.0
887.6618,153.0
888.01685,274.0
888.3721,325.0
888.7274,213.0
889.0829,339.0
889.43854,445.0
889.7943,189.0
890.1502,337.0
890.5063,388.0
890.8625,200.0
891.2188,388.0
891.5753,249.0
891.93195,214.0
892.2887,444.0
892.6456,178.0
893.0027,275.0
893.35986,365.0
893.7172,150.0
894.0747,323.0
894.4323,325.0
894.7901,216.0
895.148,358.0
895.50604,281.0
