M/Z,Intensity
800.0,355.0
800.32,457.0
800.64014,261.0
800.9604,717.0
801.28076,671.0
801.60126,281.0
801.9219,391.0
802.2426,512.0
802.56354,309.0
802.8846,517.0
803.20575,508.0
803.52704,317.0
803.84845,270.0
804.17,505.0
804.49164,522.0
804.8134,196.0
805.1353,468.0
805.4574,492.0
805.7796,181.0
806.1019,431.0
806.4244,1150.0
806.74695,229.0
807.06964,373.0
807.39246,765.0
807.7154,195.0
808.03845,318.0
808.3617,1398.0
808.68506,310.0
809.00854,317.0
809.33215,760.0
809.6559,461.0
809.97974,307.0
810.3037,654.0
810.6278,569.0
810.9521,318.0
811.2765,485.0
811.601,372.0
811.92566,251.0
812.2504,486.0
812.5753,379.0
812.9003,289.0
813.22546,464.0
813.5508,281.0
813.8762,225.0
814.2018,414.0
814.52747,342.0
814.8533,242.0
815.1792,469.0
815.50525,410.0
815.8314,179.0
816.1578,415.0
816.48425,332.0
816.81085,323.0
817.1376,559.0
817.4644,338.0
817.7914,224.0
818.11847,445.0
818.44574,318.0
818.77313,196.0
819.10065,382.0
819.4283,322.0
819.75604,173.0
820.0839,363.0
820.412,387.0
820.7402,182.0
821.0685,370.0
821.3969,369.0
821.72546,217.0
822.05414,292.0
822.38293,406.0
822.7119,221.0
823.041,1015.0
823.37024,371.0
823.6996,225.0
824.02905,725.0
824.35864,508.0
824.6884,454.0
825.0183,5597.0
825.3483,558.0
825.67847,252.0
826.0087,2540.0
826.3391,498.0
826.6696,220.0
827.0003,918.0
827.3311,440.0
827.66205,187.0
827.9931,420.0
828.3243,642.0
828.65564,235.0
828.9871,322.0
829.3187,547.0
829.65045,241.0
829.9823,250.0
830.3143,501.0
830.6464,195.0
830.9787,278.0
831.3111,412.0
831.6436,211.0
831.97626,338.0
832.309,504.0
832.64197,310.0
832.97504,309.0
833.3082,460.0
833.64154,253.0
833.975,293.0
834.3086,547.0
834.64233,364.0
834.9762,312.0
835.3102,466.0
835.6443,306.0
835.9785,304.0
836.3129,477.0
836.64746,255.0
836.9821,348.0
837.3169,436.0
837.6518,234.0
837.9869,311.0
838.3221,426.0
838.6574,271.0
838.99286,1813.0
839.3284,477.0
839.6642,250.0
840.00006,1023.0
840.33606,460.0
840.6722,285.0
841.0084,1660.0
841.34485,426.0
841.6814,228.0
842.01807,861.0
842.35486,502.0
842.6918,246.0
843.0289,630.0
843.3661,423.0
843.7034,204.0
844.0409,429.0
844.37854,467.0
844.7163,406.0
845.0542,2356.0
845.3922,606.0
845.73035,379.0
846.06866,1351.0
846.4071,484.0
846.74567,288.0
847.08435,863.0
847.42316,349.0
847.76215,226.0
848.10126,523.0
848.4405,390.0
848.77985,217.0
849.1194,420.0
849.45905,387.0
849.7988,210.0
850.13873,379.0
850.47876,318.0
850.819,211.0
851.1593,376.0
851.49976,325.0
851.84033,192.0
852.1811,372.0
852.522,324.0
852.863,202.0
853.2041,417.0
853.5454,288.0
853.88684,264.0
854.2284,426.0
854.57007,257.0
854.9119,852.0
855.2539,515.0
855.596,255.0
855.93823,543.0
856.2806,498.0
856.6231,329.0
856.96576,695.0
857.30853,458.0
857.6514,227.0
857.9945,476.0
858.3377,484.0
858.681,247.0
859.0245,484.0
859.3681,400.0
859.71185,199.0
860.0557,410.0
860.3997,369.0
860.7439,1340.0
861.0882,3287.0
861.4326,482.0
861.77716,978.0
862.1219,1442.0
862.46674,371.0
862.8117,590.0
863.15686,628.0
863.50214,308.0
863.84753,350.0
864.19305,403.0
864.53876,309.0
864.8846,354.0
865.2305,399.0
865.5766,274.0
865.92285,259.0
866.2692,511.0
866.6157,239.0
866.96234,641.0
867.30914,460.0
867.65607,201.0
868.0031,456.0
868.35034,425.0
868.6977,181.0
