M/Z,Intensity
800.0,321.0
800.32,456.0
800.64014,265.0
800.9604,699.0
801.28076,716.0
801.60126,288.0
801.9219,381.0
802.2426,531.0
802.56354,416.0
802.8846,431.0
803.20575,581.0
803.52704,382.0
803.84845,256.0
804.17,803.0
804.49164,724.0
804.8134,229.0
805.1353,981.0
805.4574,563.0
805.7796,173.0
806.1019,675.0
806.4244,1690.0
806.74695,229.0
807.06964,409.0
807.39246,1061.0
807.7154,210.0
808.03845,351.0
808.3617,1798.0
808.68506,482.0
809.00854,312.0
809.33215,862.0
809.6559,583.0
809.97974,230.0
810.3037,639.0
810.6278,610.0
810.9521,266.0
811.2765,507.0
811.601,419.0
811.92566,222.0
812.2504,450.0
812.5753,392.0
812.9003,284.0
813.22546,434.0
813.5508,310.0
813.8762,180.0
814.2018,412.0
814.52747,413.0
814.8533,206.0
815.1792,400.0
815.50525,389.0
815.8314,192.0
816.1578,421.0
816.48425,338.0
816.81085,276.0
817.1376,537.0
817.4644,350.0
817.7914,169.0
818.11847,427.0
818.44574,391.0
818.77313,168.0
819.10065,448.0
819.4283,363.0
819.75604,139.0
820.0839,307.0
820.412,456.0
820.7402,187.0
821.0685,414.0
821.3969,455.0
821.72546,188.0
822.05414,364.0
822.38293,464.0
822.7119,210.0
823.041,1040.0
823.37024,476.0
823.6996,200.0
824.02905,687.0
824.35864,557.0
824.6884,417.0
825.0183,5491.0
825.3483,585.0
825.67847,294.0
826.0087,2536.0
826.3391,595.0
826.6696,202.0
827.0003,985.0
827.3311,502.0
827.66205,191.0
827.9931,383.0
828.3243,851.0
828.65564,306.0
828.9871,259.0
829.3187,644.0
829.65045,271.0
829.9823,244.0
830.3143,570.0
830.6464,256.0
830.9787,262.0
831.3111,446.0
831.6436,209.0
831.97626,222.0
832.309,543.0
832.64197,367.0
832.97504,297.0
833.3082,469.0
833.64154,301.0
833.975,263.0
834.3086,617.0
834.64233,454.0
834.9762,280.0
835.3102,458.0
835.6443,362.0
835.9785,264.0
836.3129,490.0
836.64746,304.0
836.9821,308.0
837.3169,445.0
837.6518,258.0
837.9869,307.0
838.3221,483.0
838.6574,252.0
838.99286,1871.0
839.3284,473.0
839.6642,197.0
840.00006,931.0
840.33606,495.0
840.6722,306.0
841.0084,1701.0
841.34485,446.0
841.6814,260.0
842.01807,904.0
842.35486,478.0
842.6918,249.0
843.0289,616.0
843.3661,432.0
843.7034,207.0
844.0409,387.0
844.37854,391.0
844.7163,428.0
845.0542,3103.0
845.3922,661.0
845.73035,362.0
846.06866,1746.0
846.4071,525.0
846.74567,334.0
847.08435,970.0
847.42316,363.0
847.76215,242.0
848.10126,571.0
848.4405,404.0
848.77985,221.0
849.1194,418.0
849.45905,382.0
849.7988,191.0
850.13873,363.0
850.47876,371.0
850.819,194.0
851.1593,340.0
851.49976,311.0
851.84033,199.0
852.1811,388.0
852.522,369.0
852.863,220.0
853.2041,437.0
853.5454,333.0
853.88684,216.0
854.2284,447.0
854.57007,301.0
854.9119,733.0
855.2539,442.0
855.596,252.0
855.93823,515.0
856.2806,518.0
856.6231,365.0
856.96576,702.0
857.30853,474.0
857.6514,261.0
857.9945,488.0
858.3377,478.0
858.681,203.0
