M/Z,Intensity
800.0,248.0
800.32,323.0
800.64014,256.0
800.9604,487.0
801.28076,735.0
801.60126,301.0
801.9219,297.0
802.2426,464.0
802.56354,362.0
802.8846,287.0
803.20575,356.0
803.52704,295.0
803.84845,186.0
804.17,342.0
804.49164,412.0
804.8134,211.0
805.1353,282.0
805.4574,368.0
805.7796,169.0
806.1019,272.0
806.4244,630.0
806.74695,198.0
807.06964,268.0
807.39246,487.0
807.7154,195.0
808.03845,257.0
808.3617,944.0
808.68506,357.0
809.00854,261.0
809.33215,511.0
809.6559,413.0
809.97974,219.0
810.3037,420.0
810.6278,401.0
810.9521,283.0
811.2765,376.0
811.601,309.0
811.92566,236.0
812.2504,359.0
812.5753,284.0
812.9003,235.0
813.22546,313.0
813.5508,264.0
813.8762,218.0
814.2018,332.0
814.52747,259.0
814.8533,217.0
815.1792,262.0
815.50525,317.0
815.8314,204.0
816.1578,308.0
816.48425,296.0
816.81085,277.0
817.1376,426.0
817.4644,294.0
817.7914,223.0
818.11847,327.0
818.44574,283.0
818.77313,189.0
819.10065,305.0
819.4283,297.0
819.75604,190.0
820.0839,256.0
820.412,296.0
820.7402,190.0
821.0685,296.0
821.3969,292.0
821.72546,170.0
822.05414,252.0
822.38293,314.0
822.7119,230.0
823.041,900.0
823.37024,389.0
823.6996,310.0
824.02905,673.0
824.35864,531.0
824.6884,330.0
825.0183,1406.0
825.3483,406.0
825.67847,252.0
826.0087,697.0
826.3391,332.0
826.6696,224.0
827.0003,372.0
827.3311,300.0
827.66205,182.0
827.9931,246.0
828.3243,453.0
828.65564,246.0
828.9871,231.0
829.3187,382.0
829.65045,221.0
829.9823,243.0
830.3143,349.0
830.6464,196.0
830.9787,215.0
831.3111,313.0
831.6436,196.0
831.97626,211.0
832.309,363.0
832.64197,246.0
832.97504,238.0
833.3082,323.0
833.64154,228.0
833.975,216.0
834.3086,367.0
834.64233,254.0
834.9762,254.0
835.3102,337.0
835.6443,239.0
835.9785,271.0
836.3129,363.0
836.64746,199.0
836.9821,228.0
837.3169,342.0
837.6518,204.0
837.9869,218.0
838.3221,298.0
838.6574,213.0
838.99286,1352.0
839.3284,329.0
839.6642,214.0
840.00006,727.0
840.33606,336.0
840.6722,225.0
841.0084,799.0
841.34485,331.0
841.6814,206.0
842.01807,459.0
842.35486,311.0
842.6918,192.0
843.0289,382.0
843.3661,296.0
843.7034,182.0
844.0409,302.0
844.37854,299.0
844.7163,319.0
845.0542,2203.0
845.3922,708.0
845.73035,320.0
846.06866,1245.0
846.4071,455.0
846.74567,312.0
847.08435,863.0
847.42316,329.0
847.76215,246.0
848.10126,417.0
848.4405,276.0
848.77985,204.0
849.1194,307.0
849.45905,278.0
849.7988,186.0
850.13873,261.0
850.47876,266.0
850.819,185.0
851.1593,272.0
851.49976,242.0
851.84033,165.0
852.1811,292.0
852.522,241.0
852.863,195.0
853.2041,310.0
853.5454,244.0
853.88684,195.0
854.2284,294.0
854.57007,210.0
854.9119,695.0
855.2539,303.0
855.596,188.0
855.93823,431.0
856.2806,374.0
856.6231,243.0
856.96576,580.0
857.30853,370.0
857.6514,228.0
857.9945,368.0
858.3377,375.0
858.681,184.0
859.0245,367.0
859.3681,338.0
859.71185,176.0
860.0557,334.0
860.3997,352.0
860.7439,923.0
861.0882,2869.0
861.4326,370.0
861.77716,718.0
862.1219,1215.0
862.46674,320.0
862.8117,488.0
863.15686,509.0
863.50214,293.0
863.84753,325.0
864.19305,295.0
864.53876,274.0
864.8846,330.0
865.2305,321.0
865.5766,221.0
865.92285,237.0
866.2692,328.0
866.6157,225.0
866.96234,529.0
867.30914,331.0
867.65607,201.0
868.0031,318.0
868.35034,338.0
868.6977,168.0
869.04517,273.0
869.39276,278.0
869.74054,185.0
870.08844,198.0
870.43646,277.0
870.7846,221.0
871.13293,254.0
871.4814,267.0
871.82996,210.0
872.1787,257.0
872.5276,251.0
872.8766,345.0
873.2257,296.0
873.575,220.0
873.92444,313.0
874.274,326.0
874.6237,172.0
874.9736,264.0
875.32355,275.0
875.6737,205.0
876.024,250.0
876.3744,366.0
876.7249,437.0
877.0756,869.0
877.42645,336.0
877.7774,438.0
878.12854,428.0
878.4798,249.0
878.8312,381.0
879.18274,344.0
879.5344,251.0
879.8862,258.0
880.23816,355.0
880.5903,216.0
880.9425,269.0
881.29486,325.0
881.6474,172.0
882.00006,250.0
882.35284,302.0
882.7058,232.0
883.0589,389.0
883.4121,297.0
883.7655,183.0
884.119,284.0
884.47266,280.0
884.8264,172.0
885.18036,252.0
885.5344,229.0
885.8886,191.0
886.243,278.0
886.5975,188.0
886.9521,225.0
887.3069,278.0
887.6618,189.0
888.01685,218.0
888.3721,288.0
888.7274,180.0
889.0829,277.0
889.43854,563.0
889.7943,206.0
890.1502,268.0
890.5063,418.0
890.8625,221.0
891.2188,309.0
891.5753,308.0
891.93195,198.0
892.2887,362.0
892.6456,243.0
893.0027,291.0
893.35986,316.0
893.7172,200.0
894.0747,254.0
894.4323,277.0
894.7901,235.0
895.148,259.0
895.50604,269.0
895.86426,217.0
896.2226,307.0
896.58105,205.0
896.9397,213.0
897.29846,306.0
897.6574,203.0
898.0165,219.0
898.3757,309.0
898.73505,186.0
899.09454,258.0
899.45416,264.0
899.81396,187.0
900.1739,294.0
900.53394,254.0
900.89417,197.0
901.2545,301.0
901.615,192.0
901.97565,183.0
902.3364,292.0
902.6974,181.0
903.0585,224.0
903.4197,306.0
903.78107,193.0
904.1426,261.0
904.5042,302.0
904.866,215.0
905.22797,282.0
905.5901,218.0
905.95233,207.0
906.3147,310.0
906.67725,189.0
907.0399,225.0
907.4027,314.0
907.7657,167.0
908.1288,230.0
908.49207,258.0
908.85547,176.0
909.219,257.0
909.5827,232.0
909.94653,189.0
910.3105,310.0
910.6746,186.0
911.0389,258.0
911.4033,280.0
911.7679,223.0
912.13257,261.0
912.49744,247.0
912.8624,203.0
913.2276,259.0
913.5929,214.0
913.9583,212.0
914.3239,298.0
914.68964,189.0
915.05554,263.0
915.4216,274.0
915.7877,183.0
916.15405,284.0
916.5205,266.0
916.88715,184.0
917.2539,304.0
917.6208,242.0
917.98785,215.0
918.35504,338.0
918.7224,202.0
919.0899,240.0
919.4575,291.0
919.8253,180.0
920.19324,274.0
920.56134,218.0
920.92957,197.0
921.2979,325.0
921.66644,183.0
922.0351,266.0
922.40393,301.0
922.7729,186.0
923.14197,262.0
923.5112,255.0
923.8806,169.0
924.2502,264.0
924.6199,220.0
924.98975,212.0
925.35974,278.0
925.72986,165.0
926.10016,232.0
926.4706,245.0
926.8412,211.0
927.2119,250.0
927.5828,225.0
927.95386,180.0
928.325,281.0
928.69635,199.0
929.0678,231.0
929.43945,274.0
929.8112,185.0
930.18317,248.0
930.55524,258.0
930.9274,197.0
931.2998,284.0
931.6723,186.0
932.045,192.0
932.4178,271.0
932.7908,166.0
933.1639,271.0
933.5372,430.0
933.9106,192.0
934.2841,350.0
934.65784,268.0
935.0317,179.0
935.4057,295.0
935.77985,183.0
936.1542,274.0
936.5286,249.0
936.90326,213.0
937.278,262.0
937.65295,180.0
938.028,217.0
938.4032,268.0
938.77856,183.0
939.15405,236.0
939.5297,235.0
939.9055,197.0
940.2815,264.0
940.6576,208.0
941.0339,201.0
941.4103,270.0
941.78687,175.0
942.1636,246.0
942.54047,219.0
942.9175,207.0
943.2947,287.0
943.672,195.0
944.04944,254.0
944.42706,265.0
944.8048,203.0
945.18274,256.0
945.5608,215.0
945.939,261.0
946.3174,279.0
946.6959,165.0
947.0746,227.0
947.4534,289.0
947.8324,180.0
948.21155,311.0
948.5908,203.0
948.9703,204.0
949.34985,341.0
949.7296,175.0
950.1095,217.0
950.48956,251.0
950.86975,184.0
951.2501,265.0
951.6306,213.0
952.0113,186.0
952.3921,269.0
952.7731,178.0
953.1542,207.0
953.53546,237.0
953.9169,173.0
954.29846,259.0
954.6802,195.0
955.0621,211.0
955.4441,271.0
955.8263,168.0
956.2086,239.0
956.5911,217.0
956.97375,204.0
957.35657,297.0
957.7395,184.0
958.1226,237.0
958.50586,226.0
958.8893,190.0
959.2728,263.0
959.65656,203.0
960.0404,205.0
960.42444,252.0
960.8086,154.0
961.19293,257.0
961.5774,213.0
961.96204,229.0
962.3468,286.0
962.73175,178.0
963.1168,229.0
963.5021,277.0
963.88745,195.0
964.273,283.0
964.6587,209.0
965.04456,194.0
965.4306,258.0
965.8168,199.0
966.2031,249.0
966.5896,217.0
966.97626,198.0
967.36304,276.0
967.75,162.0
968.1371,251.0
968.52435,234.0
968.91174,189.0
969.2993,309.0
969.687,204.0
970.0749,262.0
970.4629,350.0
970.8511,194.0
971.23944,274.0
971.6279,248.0
972.0166,210.0
972.4054,291.0
972.7944,182.0
973.1835,250.0
973.57275,240.0
973.96216,180.0
974.35175,266.0
974.7415,182.0
975.1314,219.0
975.5215,263.0
975.9117,201.0
976.30206,261.0
976.69257,170.0
977.08325,227.0
977.47406,420.0
977.86505,173.0
978.2562,282.0
978.6475,219.0
979.039,222.0
979.4306,273.0
979.8224,198.0
980.2143,267.0
980.6064,222.0
980.99866,234.0
981.39105,261.0
981.7836,178.0
982.17633,238.0
982.5692,203.0
982.9622,184.0
983.3554,263.0
983.7488,163.0
984.1423,275.0
984.53595,233.0
984.92975,192.0
985.3237,311.0
985.71783,184.0
986.1121,247.0
986.5066,256.0
986.9012,202.0
987.29596,255.0
987.69086,202.0
988.08594,224.0
988.4812,214.0
988.8766,191.0
989.27216,241.0
989.66785,183.0
990.0637,276.0
990.4597,267.0
990.8559,213.0
991.25226,249.0
991.64874,198.0
992.0454,254.0
992.4422,272.0
992.8392,191.0
993.2363,259.0
993.6336,207.0
994.03107,187.0
994.42865,252.0
994.8264,184.0
995.22437,252.0
995.62244,213.0
996.0207,196.0
996.4191,266.0
996.8177,180.0
997.21643,272.0
997.6153,250.0
998.01434,218.0
998.4136,294.0
998.8129,172.0
999.21246,252.0
999.6121,225.0
1000.01196,237.0
1000.412,268.0
1000.81213,182.0
1001.21246,231.0
1001.613,226.0
1002.0136,223.0
1002.4144,283.0
1002.81537,168.0
1003.2165,222.0
1003.6178,209.0
1004.0192,232.0
1004.42084,219.0
1004.82263,184.0
1005.22455,234.0
1005.62665,211.0
1006.0289,326.0
1006.4313,254.0
1006.83386,193.0
1007.2366,283.0
1007.63947,207.0
1008.04254,222.0
1008.44574,275.0
1008.8491,205.0
1009.2527,252.0
1009.6564,202.0
1010.06024,196.0
1010.4643,232.0
1010.86847,180.0
1011.2728,240.0
1011.6773,220.0
1012.082,313.0
1012.4868,263.0
1012.8918,210.0
1013.29694,282.0
1013.7023,202.0
1014.1077,306.0
1014.51337,251.0
1014.9192,215.0
1015.32513,263.0
1015.73126,194.0
1016.1376,213.0
1016.544,264.0
1016.9506,209.0
1017.3574,277.0
1017.76434,187.0
1018.17145,230.0
1018.57874,242.0
1018.98615,212.0
1019.39374,298.0
1019.8015,228.0
1020.2094,192.0
1020.6175,210.0
1021.02576,197.0
1021.43414,381.0
1021.8427,195.0
1022.25146,273.0
1022.66034,264.0
1023.0694,221.0
1023.47864,262.0
1023.888,198.0
1024.2976,264.0
1024.7073,213.0
1025.1172,233.0
1025.5272,269.0
1025.9374,197.0
1026.3478,287.0
1026.7583,168.0
1027.169,208.0
1027.5798,215.0
1027.9908,410.0
1028.4021,276.0
1028.8135,271.0
1029.225,276.0
1029.6367,237.0
1030.0486,305.0
1030.4606,250.0
1030.8728,233.0
1031.2852,213.0
1031.6976,170.0
1032.1104,231.0
1032.5232,260.0
1032.9362,191.0
1033.3494,253.0
1033.7627,300.0
1034.1761,432.0
1034.5898,234.0
1035.0037,439.0
1035.4177,278.0
1035.8319,301.0
1036.2462,264.0
1036.6608,238.0
1037.0754,262.0
1037.4902,258.0
1037.9053,215.0
1038.3204,248.0
1038.7357,193.0
1039.1512,241.0
1039.5669,259.0
1039.9827,200.0
1040.3987,262.0
1040.8148,176.0
1041.2312,222.0
1041.6477,211.0
1042.0643,186.0
1042.4812,245.0
1042.8982,185.0
1043.3153,300.0
1043.7327,240.0
1044.1501,345.0
1044.5677,267.0
1044.9856,295.0
1045.4036,285.0
1045.8218,221.0
1046.2401,233.0
1046.6586,198.0
1047.0773,217.0
1047.4961,239.0
