M/Z,Intensity
800.0,106.0
800.32,244.0
800.64014,107.0
800.9604,217.0
801.28076,347.0
801.60126,148.0
801.9219,111.0
802.2426,248.0
802.56354,185.0
802.8846,129.0
803.20575,195.0
803.52704,171.0
803.84845,81.0
804.17,167.0
804.49164,196.0
804.8134,69.0
805.1353,155.0
805.4574,182.0
805.7796,59.0
806.1019,140.0
806.4244,246.0
806.74695,80.0
807.06964,96.0
807.39246,241.0
807.7154,108.0
808.03845,118.0
808.3617,298.0
808.68506,143.0
809.00854,113.0
809.33215,234.0
809.6559,153.0
809.97974,95.0
810.3037,221.0
810.6278,155.0
810.9521,108.0
811.2765,214.0
811.601,132.0
811.92566,84.0
812.2504,210.0
812.5753,126.0
812.9003,85.0
813.22546,220.0
813.5508,124.0
813.8762,102.0
814.2018,150.0
814.52747,169.0
814.8533,81.0
815.1792,181.0
815.50525,229.0
815.8314,84.0
816.1578,147.0
816.48425,197.0
816.81085,88.0
817.1376,233.0
817.4644,179.0
817.7914,74.0
818.11847,168.0
818.44574,178.0
818.77313,75.0
819.10065,170.0
819.4283,163.0
819.75604,88.0
820.0839,119.0
820.412,223.0
820.7402,95.0
821.0685,127.0
821.3969,214.0
821.72546,82.0
822.05414,106.0
822.38293,188.0
822.7119,71.0
823.041,331.0
823.37024,200.0
823.6996,74.0
824.02905,260.0
824.35864,228.0
824.6884,122.0
825.0183,1979.0
825.3483,270.0
825.67847,98.0
826.0087,932.0
826.3391,240.0
826.6696,97.0
827.0003,327.0
827.3311,212.0
827.66205,93.0
827.9931,152.0
828.3243,184.0
828.65564,119.0
828.9871,117.0
829.3187,215.0
829.65045,107.0
829.9823,99.0
830.3143,243.0
830.6464,88.0
830.9787,91.0
831.3111,186.0
831.6436,102.0
831.97626,102.0
832.309,170.0
832.64197,119.0
832.97504,107.0
833.3082,212.0
833.64154,98.0
833.975,99.0
834.3086,183.0
834.64233,139.0
834.9762,112.0
835.3102,171.0
835.6443,112.0
835.9785,84.0
836.3129,213.0
836.64746,109.0
836.9821,102.0
837.3169,206.0
837.6518,82.0
837.9869,107.0
838.3221,204.0
838.6574,111.0
838.99286,578.0
839.3284,189.0
839.6642,90.0
840.00006,336.0
840.33606,209.0
840.6722,97.0
841.0084,514.0
841.34485,233.0
841.6814,72.0
842.01807,288.0
842.35486,250.0
842.6918,112.0
843.0289,193.0
843.3661,199.0
843.7034,68.0
844.0409,127.0
844.37854,208.0
844.7163,123.0
845.0542,985.0
845.3922,370.0
845.73035,109.0
846.06866,617.0
846.4071,247.0
846.74567,104.0
847.08435,365.0
847.42316,217.0
847.76215,94.0
848.10126,211.0
848.4405,169.0
848.77985,78.0
849.1194,168.0
849.45905,213.0
849.7988,79.0
850.13873,155.0
850.47876,194.0
850.819,94.0
851.1593,155.0
851.49976,148.0
851.84033,75.0
852.1811,133.0
852.522,140.0
852.863,89.0
853.2041,136.0
853.5454,148.0
853.88684,82.0
854.2284,158.0
854.57007,129.0
854.9119,279.0
855.2539,170.0
855.596,125.0
855.93823,187.0
856.2806,165.0
856.6231,100.0
856.96576,218.0
857.30853,207.0
857.6514,104.0
857.9945,171.0
858.3377,246.0
858.681,87.0
859.0245,157.0
859.3681,187.0
859.71185,79.0
860.0557,152.0
860.3997,190.0
860.7439,338.0
861.0882,1666.0
861.4326,284.0
861.77716,256.0
862.1219,740.0
862.46674,194.0
862.8117,203.0
863.15686,343.0
863.50214,157.0
863.84753,153.0
864.19305,177.0
864.53876,155.0
864.8846,137.0
865.2305,178.0
