M/Z,Intensity
800.0,123.0
800.32,233.0
800.64014,73.0
800.9604,147.0
801.28076,342.0
801.60126,134.0
801.9219,87.0
802.2426,264.0
802.56354,117.0
802.8846,233.0
803.20575,220.0
803.52704,115.0
803.84845,121.0
804.17,195.0
804.49164,126.0
804.8134,84.0
805.1353,150.0
805.4574,152.0
805.7796,74.0
806.1019,155.0
806.4244,180.0
806.74695,74.0
807.06964,136.0
807.39246,183.0
807.7154,71.0
808.03845,122.0
808.3617,194.0
808.68506,76.0
809.00854,110.0
809.33215,232.0
809.6559,90.0
809.97974,104.0
810.3037,209.0
810.6278,95.0
810.9521,112.0
811.2765,213.0
811.601,100.0
811.92566,102.0
812.2504,226.0
812.5753,97.0
812.9003,105.0
813.22546,178.0
813.5508,72.0
813.8762,72.0
814.2018,163.0
814.52747,117.0
814.8533,98.0
815.1792,182.0
815.50525,159.0
815.8314,81.0
816.1578,180.0
816.48425,150.0
816.81085,135.0
817.1376,220.0
817.4644,172.0
817.7914,93.0
818.11847,186.0
818.44574,130.0
818.77313,78.0
819.10065,168.0
819.4283,156.0
819.75604,60.0
820.0839,123.0
820.412,160.0
820.7402,73.0
821.0685,151.0
821.3969,187.0
821.72546,70.0
822.05414,114.0
822.38293,154.0
822.7119,74.0
823.041,221.0
823.37024,203.0
823.6996,84.0
824.02905,155.0
824.35864,225.0
824.6884,180.0
825.0183,2140.0
825.3483,230.0
825.67847,102.0
826.0087,989.0
826.3391,223.0
826.6696,104.0
827.0003,359.0
827.3311,212.0
827.66205,64.0
827.9931,126.0
828.3243,171.0
828.65564,59.0
828.9871,104.0
829.3187,173.0
829.65045,72.0
829.9823,88.0
830.3143,190.0
830.6464,66.0
830.9787,96.0
831.3111,209.0
831.6436,83.0
831.97626,116.0
832.309,197.0
832.64197,73.0
832.97504,132.0
833.3082,177.0
833.64154,70.0
833.975,115.0
834.3086,192.0
834.64233,80.0
834.9762,114.0
835.3102,188.0
835.6443,74.0
835.9785,129.0
836.3129,192.0
836.64746,59.0
836.9821,190.0
837.3169,184.0
837.6518,60.0
837.9869,122.0
838.3221,176.0
838.6574,78.0
838.99286,390.0
839.3284,167.0
839.6642,84.0
840.00006,253.0
840.33606,200.0
840.6722,94.0
841.0084,514.0
841.34485,210.0
841.6814,89.0
842.01807,254.0
842.35486,247.0
842.6918,75.0
843.0289,220.0
843.3661,190.0
843.7034,70.0
844.0409,132.0
844.37854,218.0
844.7163,91.0
845.0542,293.0
845.3922,323.0
845.73035,83.0
846.06866,220.0
846.4071,199.0
846.74567,96.0
847.08435,168.0
847.42316,194.0
847.76215,76.0
848.10126,149.0
848.4405,148.0
848.77985,73.0
849.1194,139.0
849.45905,163.0
849.7988,77.0
850.13873,135.0
850.47876,118.0
850.819,80.0
851.1593,135.0
851.49976,124.0
851.84033,75.0
852.1811,134.0
852.522,132.0
852.863,68.0
853.2041,162.0
853.5454,126.0
853.88684,84.0
854.2284,198.0
854.57007,110.0
854.9119,354.0
855.2539,203.0
855.596,74.0
855.93823,220.0
856.2806,183.0
856.6231,84.0
856.96576,206.0
857.30853,206.0
857.6514,77.0
857.9945,172.0
858.3377,192.0
858.681,94.0
859.0245,163.0
859.3681,169.0
859.71185,79.0
860.0557,142.0
860.3997,184.0
860.7439,300.0
861.0882,692.0
861.4326,205.0
861.77716,248.0
862.1219,278.0
862.46674,167.0
862.8117,171.0
863.15686,177.0
863.50214,128.0
863.84753,116.0
864.19305,154.0
864.53876,123.0
864.8846,113.0
865.2305,156.0
865.5766,125.0
865.92285,78.0
866.2692,190.0
866.6157,80.0
866.96234,161.0
867.30914,152.0
867.65607,74.0
868.0031,117.0
868.35034,142.0
868.6977,70.0
869.04517,102.0
869.39276,148.0
869.74054,62.0
870.08844,112.0
870.43646,141.0
870.7846,93.0
871.13293,141.0
871.4814,118.0
871.82996,75.0
872.1787,147.0
872.5276,129.0
872.8766,130.0
873.2257,174.0
873.575,86.0
873.92444,120.0
874.274,208.0
874.6237,86.0
874.9736,105.0
875.32355,172.0
875.6737,72.0
876.024,135.0
876.3744,203.0
876.7249,151.0
877.0756,206.0
877.42645,177.0
877.7774,149.0
878.12854,144.0
878.4798,135.0
878.8312,136.0
879.18274,137.0
879.5344,97.0
879.8862,95.0
880.23816,212.0
880.5903,82.0
880.9425,108.0
881.29486,180.0
881.6474,71.0
882.00006,91.0
882.35284,134.0
882.7058,77.0
883.0589,144.0
883.4121,129.0
883.7655,67.0
884.119,130.0
884.47266,140.0
884.8264,76.0
885.18036,153.0
885.5344,103.0
885.8886,93.0
886.243,123.0
886.5975,83.0
886.9521,71.0
887.3069,162.0
887.6618,88.0
888.01685,81.0
888.3721,136.0
888.7274,76.0
889.0829,117.0
889.43854,221.0
889.7943,74.0
890.1502,117.0
890.5063,181.0
890.8625,78.0
891.2188,180.0
891.5753,101.0
891.93195,87.0
892.2887,174.0
892.6456,61.0
893.0027,100.0
893.35986,208.0
893.7172,69.0
894.0747,144.0
894.4323,159.0
894.7901,97.0
895.148,135.0
895.50604,127.0
895.86426,91.0
896.2226,146.0
896.58105,73.0
896.9397,88.0
897.29846,152.0
897.6574,56.0
898.0165,96.0
898.3757,162.0
898.73505,63.0
899.09454,119.0
899.45416,149.0
899.81396,54.0
900.1739,146.0
900.53394,125.0
900.89417,89.0
901.2545,172.0
901.615,89.0
901.97565,95.0
902.3364,163.0
902.6974,62.0
903.0585,112.0
903.4197,156.0
903.78107,58.0
904.1426,127.0
904.5042,162.0
904.866,80.0
905.22797,179.0
905.5901,115.0
905.95233,87.0
906.3147,189.0
906.67725,66.0
907.0399,102.0
907.4027,170.0
907.7657,64.0
908.1288,119.0
908.49207,141.0
908.85547,74.0
909.219,141.0
909.5827,91.0
909.94653,69.0
910.3105,151.0
910.6746,79.0
911.0389,99.0
911.4033,131.0
911.7679,47.0
912.13257,121.0
912.49744,120.0
912.8624,76.0
913.2276,162.0
913.5929,87.0
913.9583,72.0
914.3239,144.0
914.68964,82.0
915.05554,87.0
915.4216,158.0
915.7877,70.0
916.15405,123.0
916.5205,122.0
916.88715,74.0
917.2539,152.0
917.6208,72.0
917.98785,96.0
918.35504,155.0
918.7224,64.0
919.0899,105.0
919.4575,131.0
919.8253,70.0
920.19324,154.0
920.56134,116.0
920.92957,69.0
921.2979,182.0
921.66644,78.0
922.0351,79.0
922.40393,167.0
922.7729,62.0
923.14197,129.0
923.5112,141.0
923.8806,68.0
924.2502,129.0
924.6199,77.0
924.98975,90.0
925.35974,140.0
925.72986,62.0
926.10016,124.0
926.4706,122.0
926.8412,77.0
927.2119,124.0
927.5828,99.0
927.95386,78.0
928.325,161.0
928.69635,82.0
929.0678,110.0
929.43945,150.0
929.8112,89.0
930.18317,112.0
930.55524,115.0
930.9274,73.0
931.2998,146.0
931.6723,75.0
932.045,79.0
932.4178,145.0
932.7908,56.0
933.1639,139.0
933.5372,189.0
933.9106,80.0
934.2841,152.0
934.65784,100.0
935.0317,87.0
935.4057,193.0
935.77985,54.0
936.1542,105.0
936.5286,83.0
936.90326,57.0
937.278,177.0
937.65295,60.0
938.028,90.0
938.4032,171.0
938.77856,78.0
939.15405,134.0
939.5297,94.0
939.9055,68.0
940.2815,162.0
940.6576,68.0
941.0339,97.0
941.4103,150.0
941.78687,67.0
942.1636,124.0
942.54047,105.0
942.9175,82.0
943.2947,137.0
943.672,50.0
944.04944,102.0
944.42706,135.0
944.8048,77.0
945.18274,131.0
945.5608,99.0
945.939,77.0
946.3174,147.0
946.6959,74.0
947.0746,109.0
947.4534,123.0
947.8324,65.0
948.21155,192.0
948.5908,99.0
948.9703,92.0
949.34985,188.0
949.7296,64.0
950.1095,98.0
950.48956,132.0
950.86975,71.0
951.2501,138.0
951.6306,88.0
952.0113,83.0
952.3921,146.0
952.7731,77.0
953.1542,128.0
953.53546,104.0
953.9169,64.0
954.29846,167.0
954.6802,71.0
955.0621,87.0
955.4441,184.0
955.8263,56.0
956.2086,129.0
956.5911,91.0
