M/Z,Intensity
800.0,105.0
800.32,169.0
800.64014,55.0
800.9604,116.0
801.28076,281.0
801.60126,85.0
801.9219,92.0
802.2426,213.0
802.56354,95.0
802.8846,160.0
803.20575,193.0
803.52704,94.0
803.84845,86.0
804.17,169.0
804.49164,74.0
804.8134,50.0
805.1353,133.0
805.4574,113.0
805.7796,51.0
806.1019,115.0
806.4244,128.0
806.74695,45.0
807.06964,118.0
807.39246,140.0
807.7154,52.0
808.03845,91.0
808.3617,140.0
808.68506,68.0
809.00854,98.0
809.33215,212.0
809.6559,58.0
809.97974,83.0
810.3037,185.0
810.6278,65.0
810.9521,95.0
811.2765,156.0
811.601,63.0
811.92566,84.0
812.2504,163.0
812.5753,57.0
812.9003,75.0
813.22546,155.0
813.5508,74.0
813.8762,66.0
814.2018,133.0
814.52747,77.0
814.8533,82.0
815.1792,176.0
815.50525,135.0
815.8314,50.0
816.1578,139.0
816.48425,140.0
816.81085,86.0
817.1376,136.0
817.4644,128.0
817.7914,66.0
818.11847,138.0
818.44574,129.0
818.77313,58.0
819.10065,110.0
819.4283,115.0
819.75604,60.0
820.0839,100.0
820.412,114.0
820.7402,60.0
821.0685,78.0
821.3969,174.0
821.72546,66.0
822.05414,98.0
822.38293,134.0
822.7119,71.0
823.041,127.0
823.37024,146.0
823.6996,67.0
824.02905,128.0
824.35864,182.0
824.6884,118.0
825.0183,1235.0
825.3483,154.0
825.67847,84.0
826.0087,584.0
826.3391,160.0
826.6696,68.0
827.0003,237.0
827.3311,157.0
827.66205,62.0
827.9931,102.0
828.3243,141.0
828.65564,63.0
828.9871,74.0
829.3187,135.0
829.65045,54.0
829.9823,83.0
830.3143,176.0
830.6464,76.0
830.9787,78.0
831.3111,150.0
831.6436,56.0
831.97626,75.0
832.309,160.0
832.64197,47.0
832.97504,82.0
833.3082,150.0
833.64154,54.0
833.975,88.0
834.3086,169.0
834.64233,63.0
834.9762,85.0
835.3102,136.0
835.6443,61.0
835.9785,90.0
836.3129,191.0
836.64746,68.0
836.9821,107.0
837.3169,163.0
837.6518,51.0
837.9869,89.0
838.3221,147.0
838.6574,84.0
838.99286,226.0
839.3284,172.0
839.6642,59.0
840.00006,166.0
840.33606,158.0
840.6722,93.0
841.0084,294.0
841.34485,159.0
841.6814,71.0
842.01807,153.0
842.35486,205.0
842.6918,62.0
843.0289,139.0
843.3661,176.0
843.7034,76.0
844.0409,104.0
844.37854,167.0
844.7163,68.0
845.0542,241.0
845.3922,249.0
845.73035,85.0
846.06866,175.0
846.4071,163.0
846.74567,74.0
847.08435,149.0
847.42316,145.0
847.76215,70.0
848.10126,131.0
848.4405,134.0
848.77985,55.0
849.1194,124.0
849.45905,111.0
849.7988,55.0
850.13873,124.0
850.47876,120.0
850.819,46.0
851.1593,134.0
851.49976,115.0
851.84033,73.0
852.1811,127.0
852.522,97.0
852.863,71.0
853.2041,140.0
853.5454,95.0
853.88684,74.0
854.2284,131.0
854.57007,84.0
854.9119,183.0
855.2539,179.0
855.596,57.0
855.93823,117.0
856.2806,157.0
856.6231,61.0
856.96576,131.0
