M/Z,Intensity
800.0,454.0
800.32,583.0
800.64014,308.0
800.9604,943.0
801.28076,716.0
801.60126,358.0
801.9219,528.0
802.2426,647.0
802.56354,388.0
802.8846,664.0
803.20575,714.0
803.52704,439.0
803.84845,315.0
804.17,693.0
804.49164,478.0
804.8134,222.0
805.1353,531.0
805.4574,513.0
805.7796,178.0
806.1019,532.0
806.4244,979.0
806.74695,253.0
807.06964,462.0
807.39246,755.0
807.7154,203.0
808.03845,418.0
808.3617,1199.0
808.68506,364.0
809.00854,414.0
809.33215,784.0
809.6559,408.0
809.97974,330.0
810.3037,742.0
810.6278,488.0
810.9521,378.0
811.2765,720.0
811.601,298.0
811.92566,327.0
812.2504,616.0
812.5753,407.0
812.9003,338.0
813.22546,535.0
813.5508,388.0
813.8762,283.0
814.2018,544.0
814.52747,443.0
814.8533,256.0
815.1792,602.0
815.50525,473.0
815.8314,251.0
816.1578,501.0
816.48425,415.0
816.81085,371.0
817.1376,730.0
817.4644,442.0
817.7914,256.0
818.11847,606.0
818.44574,477.0
818.77313,227.0
819.10065,519.0
819.4283,458.0
819.75604,203.0
820.0839,435.0
820.412,500.0
820.7402,194.0
821.0685,490.0
821.3969,535.0
821.72546,220.0
822.05414,406.0
822.38293,525.0
822.7119,277.0
823.041,1852.0
823.37024,607.0
823.6996,249.0
824.02905,1250.0
824.35864,604.0
824.6884,735.0
825.0183,11558.0
825.3483,874.0
825.67847,389.0
826.0087,5138.0
826.3391,710.0
826.6696,309.0
827.0003,1631.0
827.3311,562.0
827.66205,232.0
827.9931,604.0
828.3243,670.0
828.65564,250.0
828.9871,367.0
829.3187,579.0
829.65045,228.0
829.9823,285.0
830.3143,550.0
830.6464,214.0
830.9787,345.0
831.3111,506.0
831.6436,235.0
831.97626,331.0
832.309,551.0
832.64197,296.0
832.97504,377.0
833.3082,580.0
833.64154,224.0
833.975,413.0
834.3086,608.0
834.64233,403.0
834.9762,370.0
835.3102,601.0
835.6443,282.0
835.9785,379.0
836.3129,599.0
836.64746,291.0
836.9821,446.0
837.3169,686.0
837.6518,300.0
837.9869,374.0
838.3221,609.0
838.6574,348.0
838.99286,2792.0
839.3284,810.0
839.6642,266.0
840.00006,1523.0
840.33606,677.0
840.6722,414.0
841.0084,2791.0
841.34485,615.0
841.6814,284.0
842.01807,1369.0
842.35486,595.0
842.6918,280.0
843.0289,894.0
843.3661,501.0
843.7034,222.0
844.0409,576.0
844.37854,488.0
844.7163,718.0
845.0542,5632.0
845.3922,768.0
845.73035,597.0
846.06866,3065.0
846.4071,601.0
846.74567,506.0
847.08435,1900.0
847.42316,491.0
847.76215,325.0
848.10126,936.0
848.4405,511.0
848.77985,239.0
849.1194,549.0
849.45905,470.0
849.7988,250.0
850.13873,508.0
850.47876,418.0
850.819,231.0
851.1593,457.0
851.49976,393.0
851.84033,218.0
852.1811,457.0
852.522,409.0
852.863,279.0
853.2041,541.0
853.5454,341.0
853.88684,257.0
854.2284,518.0
854.57007,351.0
854.9119,1146.0
855.2539,626.0
855.596,277.0
855.93823,620.0
856.2806,621.0
856.6231,346.0
856.96576,796.0
857.30853,569.0
857.6514,284.0
857.9945,528.0
858.3377,549.0
858.681,225.0
859.0245,510.0
859.3681,539.0
859.71185,241.0
860.0557,425.0
860.3997,495.0
860.7439,2339.0
861.0882,6617.0
861.4326,605.0
861.77716,1695.0
862.1219,2661.0
862.46674,484.0
862.8117,1015.0
863.15686,1050.0
863.50214,458.0
863.84753,572.0
864.19305,537.0
864.53876,318.0
864.8846,498.0
865.2305,544.0
865.5766,353.0
865.92285,331.0
866.2692,611.0
866.6157,252.0
866.96234,965.0
867.30914,592.0
867.65607,256.0
868.0031,575.0
868.35034,538.0
868.6977,213.0
869.04517,436.0
869.39276,426.0
869.74054,158.0
870.08844,387.0
870.43646,414.0
870.7846,238.0
871.13293,386.0
871.4814,308.0
871.82996,201.0
872.1787,430.0
872.5276,314.0
872.8766,329.0
873.2257,495.0
873.575,283.0
873.92444,300.0
874.274,482.0
874.6237,236.0
874.9736,313.0
875.32355,483.0
875.6737,219.0
876.024,363.0
876.3744,544.0
876.7249,701.0
877.0756,1368.0
877.42645,571.0
877.7774,658.0
878.12854,714.0
878.4798,429.0
878.8312,509.0
879.18274,538.0
879.5344,345.0
879.8862,367.0
880.23816,596.0
880.5903,294.0
880.9425,368.0
881.29486,561.0
881.6474,194.0
882.00006,382.0
882.35284,546.0
882.7058,242.0
883.0589,569.0
883.4121,452.0
883.7655,207.0
884.119,457.0
884.47266,407.0
884.8264,229.0
885.18036,433.0
885.5344,310.0
885.8886,252.0
886.243,438.0
886.5975,226.0
886.9521,271.0
887.3069,450.0
887.6618,193.0
888.01685,316.0
888.3721,429.0
888.7274,184.0
889.0829,432.0
889.43854,484.0
889.7943,204.0
890.1502,436.0
890.5063,446.0
890.8625,217.0
891.2188,457.0
891.5753,312.0
891.93195,226.0
892.2887,533.0
892.6456,222.0
893.0027,357.0
893.35986,477.0
893.7172,234.0
894.0747,369.0
894.4323,430.0
894.7901,233.0
895.148,406.0
895.50604,344.0
895.86426,228.0
896.2226,477.0
896.58105,256.0
896.9397,243.0
897.29846,507.0
897.6574,185.0
898.0165,310.0
898.3757,555.0
898.73505,221.0
899.09454,428.0
899.45416,461.0
899.81396,201.0
900.1739,536.0
900.53394,354.0
900.89417,234.0
901.2545,524.0
901.615,217.0
901.97565,292.0
902.3364,476.0
902.6974,169.0
903.0585,310.0
903.4197,416.0
903.78107,195.0
904.1426,415.0
904.5042,346.0
904.866,238.0
905.22797,450.0
905.5901,284.0
905.95233,274.0
906.3147,486.0
906.67725,179.0
907.0399,288.0
907.4027,424.0
907.7657,183.0
908.1288,330.0
908.49207,335.0
908.85547,202.0
909.219,416.0
909.5827,247.0
909.94653,220.0
910.3105,391.0
910.6746,170.0
911.0389,306.0
911.4033,388.0
911.7679,173.0
912.13257,360.0
912.49744,341.0
912.8624,190.0
913.2276,450.0
913.5929,262.0
913.9583,239.0
914.3239,450.0
914.68964,198.0
915.05554,333.0
915.4216,390.0
915.7877,151.0
916.15405,364.0
916.5205,326.0
916.88715,227.0
917.2539,454.0
917.6208,221.0
917.98785,295.0
918.35504,466.0
918.7224,174.0
919.0899,322.0
919.4575,366.0
919.8253,176.0
920.19324,636.0
920.56134,279.0
920.92957,245.0
921.2979,507.0
921.66644,202.0
922.0351,299.0
922.40393,442.0
922.7729,172.0
923.14197,368.0
923.5112,310.0
923.8806,201.0
924.2502,423.0
924.6199,207.0
924.98975,278.0
925.35974,362.0
925.72986,198.0
926.10016,432.0
926.4706,326.0
926.8412,222.0
927.2119,405.0
927.5828,249.0
927.95386,268.0
928.325,424.0
928.69635,168.0
929.0678,336.0
929.43945,377.0
929.8112,166.0
930.18317,375.0
930.55524,337.0
930.9274,213.0
931.2998,434.0
931.6723,210.0
932.045,299.0
932.4178,370.0
932.7908,193.0
933.1639,342.0
933.5372,325.0
933.9106,196.0
934.2841,444.0
934.65784,235.0
935.0317,265.0
935.4057,381.0
935.77985,168.0
936.1542,362.0
936.5286,261.0
936.90326,211.0
937.278,385.0
937.65295,182.0
938.028,310.0
938.4032,395.0
938.77856,184.0
939.15405,363.0
939.5297,279.0
939.9055,217.0
940.2815,400.0
940.6576,219.0
941.0339,310.0
941.4103,357.0
941.78687,177.0
942.1636,331.0
942.54047,264.0
942.9175,243.0
943.2947,392.0
943.672,178.0
944.04944,356.0
944.42706,332.0
944.8048,182.0
945.18274,387.0
945.5608,264.0
945.939,277.0
946.3174,382.0
946.6959,196.0
947.0746,345.0
947.4534,407.0
947.8324,216.0
948.21155,558.0
948.5908,266.0
948.9703,278.0
949.34985,462.0
949.7296,168.0
950.1095,318.0
950.48956,330.0
950.86975,170.0
951.2501,362.0
951.6306,216.0
952.0113,270.0
952.3921,381.0
952.7731,171.0
953.1542,314.0
953.53546,285.0
953.9169,191.0
954.29846,385.0
954.6802,186.0
955.0621,291.0
955.4441,340.0
955.8263,160.0
956.2086,338.0
956.5911,250.0
956.97375,231.0
