M/Z,Intensity
800.0,786.0
800.32,683.0
800.64014,258.0
800.9604,1264.0
801.28076,1520.0
801.60126,583.0
801.9219,623.0
802.2426,940.0
802.56354,538.0
802.8846,1414.0
803.20575,1125.0
803.52704,455.0
803.84845,495.0
804.17,972.0
804.49164,431.0
804.8134,261.0
805.1353,681.0
805.4574,437.0
805.7796,211.0
806.1019,604.0
806.4244,754.0
806.74695,224.0
807.06964,507.0
807.39246,700.0
807.7154,191.0
808.03845,468.0
808.3617,806.0
808.68506,302.0
809.00854,474.0
809.33215,657.0
809.6559,306.0
809.97974,405.0
810.3037,688.0
810.6278,357.0
810.9521,466.0
811.2765,641.0
811.601,272.0
811.92566,341.0
812.2504,639.0
812.5753,380.0
812.9003,460.0
813.22546,607.0
813.5508,323.0
813.8762,346.0
814.2018,630.0
814.52747,402.0
814.8533,496.0
815.1792,694.0
815.50525,408.0
815.8314,316.0
816.1578,609.0
816.48425,403.0
816.81085,404.0
817.1376,867.0
817.4644,520.0
817.7914,264.0
818.11847,718.0
818.44574,486.0
818.77313,260.0
819.10065,809.0
819.4283,424.0
819.75604,226.0
820.0839,606.0
820.412,499.0
820.7402,322.0
821.0685,785.0
821.3969,481.0
821.72546,237.0
822.05414,550.0
822.38293,446.0
822.7119,325.0
823.041,2567.0
823.37024,557.0
823.6996,288.0
824.02905,1815.0
824.35864,631.0
824.6884,2319.0
825.0183,42824.0
825.3483,1701.0
825.67847,976.0
826.0087,19183.0
826.3391,1204.0
826.6696,464.0
827.0003,5032.0
827.3311,870.0
827.66205,323.0
827.9931,1340.0
828.3243,670.0
828.65564,264.0
828.9871,572.0
829.3187,540.0
829.65045,218.0
829.9823,364.0
830.3143,545.0
830.6464,213.0
830.9787,393.0
831.3111,516.0
831.6436,185.0
831.97626,392.0
832.309,515.0
832.64197,224.0
832.97504,408.0
833.3082,532.0
833.64154,213.0
833.975,403.0
834.3086,592.0
834.64233,295.0
834.9762,447.0
835.3102,593.0
835.6443,275.0
835.9785,416.0
836.3129,580.0
836.64746,253.0
836.9821,614.0
837.3169,550.0
837.6518,244.0
837.9869,508.0
838.3221,558.0
838.6574,331.0
838.99286,2870.0
839.3284,651.0
839.6642,296.0
840.00006,1577.0
840.33606,640.0
840.6722,805.0
841.0084,10771.0
841.34485,809.0
841.6814,510.0
842.01807,4817.0
842.35486,733.0
842.6918,403.0
843.0289,2673.0
843.3661,599.0
843.7034,305.0
844.0409,1138.0
844.37854,522.0
844.7163,1198.0
845.0542,10949.0
845.3922,1586.0
845.73035,1053.0
846.06866,5772.0
846.4071,989.0
846.74567,818.0
847.08435,3706.0
847.42316,658.0
847.76215,546.0
848.10126,1477.0
848.4405,471.0
848.77985,315.0
849.1194,752.0
849.45905,422.0
849.7988,251.0
850.13873,575.0
850.47876,396.0
850.819,219.0
851.1593,555.0
851.49976,338.0
851.84033,225.0
852.1811,516.0
852.522,359.0
852.863,269.0
853.2041,525.0
853.5454,268.0
853.88684,267.0
854.2284,533.0
854.57007,288.0
854.9119,1655.0
855.2539,599.0
855.596,264.0
855.93823,915.0
856.2806,658.0
856.6231,339.0
856.96576,1833.0
857.30853,642.0
857.6514,311.0
