M/Z,Intensity
800.0,462.0
800.32,524.0
800.64014,228.0
800.9604,515.0
801.28076,800.0
801.60126,381.0
801.9219,342.0
802.2426,619.0
802.56354,376.0
802.8846,624.0
803.20575,782.0
803.52704,380.0
803.84845,276.0
804.17,643.0
804.49164,400.0
804.8134,201.0
805.1353,492.0
805.4574,440.0
805.7796,182.0
806.1019,496.0
806.4244,679.0
806.74695,217.0
807.06964,446.0
807.39246,671.0
807.7154,211.0
808.03845,369.0
808.3617,671.0
808.68506,228.0
809.00854,357.0
809.33215,643.0
809.6559,280.0
809.97974,346.0
810.3037,597.0
810.6278,337.0
810.9521,305.0
811.2765,660.0
811.601,297.0
811.92566,294.0
812.2504,606.0
812.5753,373.0
812.9003,311.0
813.22546,552.0
813.5508,348.0
813.8762,239.0
814.2018,531.0
814.52747,374.0
814.8533,262.0
815.1792,536.0
815.50525,394.0
815.8314,205.0
816.1578,502.0
816.48425,411.0
816.81085,286.0
817.1376,660.0
817.4644,474.0
817.7914,215.0
818.11847,599.0
818.44574,433.0
818.77313,211.0
819.10065,489.0
819.4283,460.0
819.75604,172.0
820.0839,418.0
820.412,467.0
820.7402,204.0
821.0685,424.0
821.3969,525.0
821.72546,198.0
822.05414,370.0
822.38293,455.0
822.7119,224.0
823.041,732.0
823.37024,530.0
823.6996,227.0
824.02905,573.0
824.35864,501.0
824.6884,470.0
825.0183,7216.0
825.3483,738.0
825.67847,309.0
826.0087,3276.0
826.3391,630.0
826.6696,233.0
827.0003,1133.0
827.3311,500.0
827.66205,201.0
827.9931,453.0
828.3243,508.0
828.65564,193.0
828.9871,305.0
829.3187,500.0
829.65045,196.0
829.9823,284.0
830.3143,490.0
830.6464,215.0
830.9787,298.0
831.3111,465.0
831.6436,221.0
831.97626,279.0
832.309,556.0
832.64197,247.0
832.97504,308.0
833.3082,530.0
833.64154,187.0
833.975,313.0
834.3086,607.0
834.64233,312.0
834.9762,311.0
835.3102,499.0
835.6443,232.0
835.9785,333.0
836.3129,603.0
836.64746,234.0
836.9821,378.0
837.3169,669.0
837.6518,242.0
837.9869,354.0
838.3221,573.0
838.6574,256.0
838.99286,1242.0
839.3284,773.0
839.6642,230.0
840.00006,740.0
840.33606,588.0
840.6722,346.0
841.0084,2005.0
841.34485,564.0
841.6814,250.0
842.01807,1084.0
842.35486,562.0
842.6918,229.0
843.0289,775.0
843.3661,456.0
843.7034,192.0
844.0409,466.0
844.37854,476.0
844.7163,305.0
845.0542,1570.0
845.3922,815.0
845.73035,249.0
846.06866,989.0
846.4071,615.0
846.74567,255.0
847.08435,705.0
847.42316,471.0
847.76215,208.0
848.10126,514.0
848.4405,443.0
848.77985,149.0
849.1194,439.0
849.45905,392.0
849.7988,189.0
850.13873,404.0
850.47876,369.0
850.819,188.0
851.1593,467.0
851.49976,360.0
851.84033,168.0
852.1811,431.0
852.522,342.0
852.863,204.0
853.2041,487.0
853.5454,334.0
853.88684,226.0
854.2284,491.0
854.57007,305.0
854.9119,623.0
