M/Z,Intensity
800.0,329.0
800.32,521.0
800.64014,270.0
800.9604,594.0
801.28076,782.0
801.60126,414.0
801.9219,362.0
802.2426,580.0
802.56354,404.0
802.8846,316.0
803.20575,558.0
803.52704,379.0
803.84845,222.0
804.17,480.0
804.49164,408.0
804.8134,189.0
805.1353,433.0
805.4574,469.0
805.7796,164.0
806.1019,404.0
806.4244,712.0
806.74695,205.0
807.06964,380.0
807.39246,615.0
807.7154,205.0
808.03845,307.0
808.3617,846.0
808.68506,305.0
809.00854,311.0
809.33215,690.0
809.6559,351.0
809.97974,280.0
810.3037,583.0
810.6278,344.0
810.9521,282.0
811.2765,610.0
811.601,346.0
811.92566,246.0
812.2504,576.0
812.5753,344.0
812.9003,227.0
813.22546,518.0
813.5508,306.0
813.8762,202.0
814.2018,436.0
814.52747,363.0
814.8533,210.0
815.1792,501.0
815.50525,423.0
815.8314,216.0
816.1578,421.0
816.48425,437.0
816.81085,258.0
817.1376,577.0
817.4644,452.0
817.7914,192.0
818.11847,499.0
818.44574,411.0
818.77313,196.0
819.10065,435.0
819.4283,514.0
819.75604,164.0
820.0839,333.0
820.412,463.0
820.7402,164.0
821.0685,384.0
821.3969,528.0
821.72546,188.0
822.05414,345.0
822.38293,453.0
822.7119,209.0
823.041,921.0
823.37024,551.0
823.6996,207.0
824.02905,628.0
824.35864,527.0
824.6884,302.0
825.0183,2590.0
825.3483,581.0
825.67847,250.0
826.0087,1261.0
826.3391,513.0
826.6696,219.0
827.0003,574.0
827.3311,504.0
827.66205,173.0
827.9931,320.0
828.3243,512.0
828.65564,207.0
828.9871,268.0
829.3187,511.0
829.65045,188.0
829.9823,254.0
830.3143,501.0
830.6464,211.0
830.9787,259.0
831.3111,503.0
831.6436,217.0
831.97626,240.0
832.309,481.0
832.64197,223.0
832.97504,300.0
833.3082,532.0
833.64154,222.0
833.975,290.0
834.3086,591.0
834.64233,327.0
834.9762,272.0
835.3102,504.0
835.6443,266.0
835.9785,310.0
836.3129,517.0
836.64746,262.0
836.9821,310.0
837.3169,626.0
837.6518,257.0
837.9869,286.0
838.3221,555.0
838.6574,281.0
838.99286,1606.0
839.3284,759.0
839.6642,292.0
840.00006,872.0
840.33606,671.0
840.6722,278.0
841.0084,1100.0
841.34485,554.0
841.6814,191.0
842.01807,546.0
842.35486,496.0
842.6918,204.0
843.0289,480.0
843.3661,475.0
843.7034,211.0
844.0409,356.0
844.37854,460.0
