M/Z,Intensity
800.0,677.0
800.32,671.0
800.64014,339.0
800.9604,1191.0
801.28076,1178.0
801.60126,590.0
801.9219,637.0
802.2426,825.0
802.56354,531.0
802.8846,1511.0
803.20575,1377.0
803.52704,450.0
803.84845,540.0
804.17,1129.0
804.49164,497.0
804.8134,316.0
805.1353,774.0
805.4574,514.0
805.7796,236.0
806.1019,581.0
806.4244,880.0
806.74695,252.0
807.06964,542.0
807.39246,756.0
807.7154,217.0
808.03845,437.0
808.3617,914.0
808.68506,430.0
809.00854,474.0
809.33215,733.0
809.6559,390.0
809.97974,410.0
810.3037,706.0
810.6278,483.0
810.9521,433.0
811.2765,750.0
811.601,370.0
811.92566,363.0
812.2504,664.0
812.5753,396.0
812.9003,458.0
813.22546,655.0
813.5508,437.0
813.8762,350.0
814.2018,580.0
814.52747,455.0
814.8533,393.0
815.1792,661.0
815.50525,483.0
815.8314,276.0
816.1578,628.0
816.48425,503.0
816.81085,473.0
817.1376,1070.0
817.4644,510.0
817.7914,262.0
818.11847,708.0
818.44574,508.0
818.77313,278.0
819.10065,746.0
819.4283,525.0
819.75604,208.0
820.0839,585.0
820.412,517.0
820.7402,316.0
821.0685,693.0
821.3969,603.0
821.72546,281.0
822.05414,529.0
822.38293,563.0
822.7119,408.0
823.041,3303.0
823.37024,700.0
823.6996,326.0
824.02905,2225.0
824.35864,701.0
824.6884,1680.0
825.0183,35866.0
825.3483,1674.0
825.67847,762.0
826.0087,15265.0
826.3391,1290.0
826.6696,477.0
827.0003,4297.0
827.3311,767.0
827.66205,314.0
827.9931,1149.0
828.3243,677.0
828.65564,306.0
828.9871,512.0
829.3187,585.0
829.65045,263.0
829.9823,330.0
830.3143,553.0
830.6464,259.0
830.9787,378.0
831.3111,533.0
831.6436,247.0
831.97626,352.0
832.309,547.0
832.64197,272.0
832.97504,437.0
833.3082,584.0
833.64154,268.0
833.975,388.0
834.3086,607.0
834.64233,388.0
834.9762,411.0
835.3102,614.0
835.6443,352.0
835.9785,409.0
836.3129,617.0
836.64746,299.0
836.9821,581.0
837.3169,651.0
837.6518,271.0
837.9869,525.0
838.3221,628.0
838.6574,351.0
838.99286,3926.0
839.3284,844.0
839.6642,352.0
840.00006,2128.0
840.33606,742.0
840.6722,759.0
841.0084,10660.0
841.34485,913.0
841.6814,540.0
842.01807,4776.0
842.35486,803.0
842.6918,448.0
843.0289,2533.0
843.3661,591.0
843.7034,345.0
844.0409,1092.0
844.37854,593.0
844.7163,1088.0
845.0542,10118.0
845.3922,1301.0
845.73035,934.0
846.06866,5611.0
846.4071,950.0
846.74567,712.0
847.08435,3301.0
847.42316,616.0
847.76215,443.0
848.10126,1397.0
848.4405,508.0
848.77985,324.0
849.1194,716.0
849.45905,476.0
849.7988,262.0
850.13873,587.0
850.47876,421.0
850.819,221.0
851.1593,504.0
851.49976,393.0
851.84033,201.0
852.1811,476.0
852.522,369.0
852.863,260.0
853.2041,571.0
853.5454,339.0
853.88684,274.0
854.2284,549.0
854.57007,341.0
854.9119,1595.0
855.2539,694.0
855.596,313.0
855.93823,923.0
856.2806,662.0
856.6231,352.0
856.96576,1705.0
857.30853,621.0
857.6514,335.0
857.9945,972.0
858.3377,599.0
858.681,266.0
859.0245,927.0
859.3681,594.0
859.71185,289.0
860.0557,632.0
860.3997,546.0
860.7439,2414.0
861.0882,9341.0
861.4326,792.0
861.77716,1928.0
862.1219,3945.0
862.46674,558.0
862.8117,1392.0
863.15686,1617.0
863.50214,460.0
863.84753,822.0
864.19305,695.0
864.53876,360.0
864.8846,694.0
865.2305,597.0
865.5766,342.0
865.92285,417.0
866.2692,593.0
866.6157,300.0
866.96234,1053.0
867.30914,621.0
867.65607,268.0
868.0031,691.0
868.35034,512.0
868.6977,220.0
869.04517,523.0
869.39276,460.0
869.74054,204.0
870.08844,432.0
870.43646,437.0
870.7846,311.0
871.13293,498.0
871.4814,364.0
871.82996,270.0
872.1787,456.0
872.5276,338.0
872.8766,320.0
873.2257,553.0
873.575,310.0
873.92444,363.0
874.274,531.0
874.6237,235.0
874.9736,377.0
875.32355,515.0
875.6737,205.0
876.024,457.0
876.3744,580.0
876.7249,954.0
877.0756,2469.0
877.42645,586.0
877.7774,830.0
878.12854,1119.0
878.4798,473.0
878.8312,833.0
879.18274,623.0
879.5344,394.0
879.8862,514.0
880.23816,583.0
880.5903,273.0
880.9425,510.0
881.29486,491.0
881.6474,215.0
882.00006,564.0
882.35284,528.0
882.7058,273.0
883.0589,765.0
883.4121,492.0
883.7655,252.0
884.119,579.0
884.47266,374.0
884.8264,308.0
885.18036,506.0
885.5344,327.0
885.8886,309.0
886.243,457.0
886.5975,272.0
886.9521,370.0
887.3069,478.0
887.6618,184.0
888.01685,347.0
888.3721,444.0
888.7274,210.0
889.0829,531.0
889.43854,810.0
889.7943,244.0
890.1502,502.0
890.5063,693.0
890.8625,254.0
891.2188,477.0
891.5753,416.0
891.93195,265.0
892.2887,566.0
892.6456,291.0
893.0027,558.0
893.35986,444.0
893.7172,220.0
894.0747,467.0
894.4323,433.0
894.7901,276.0
895.148,507.0
895.50604,368.0
895.86426,259.0
896.2226,495.0
896.58105,283.0
896.9397,285.0
897.29846,463.0
