M/Z,Intensity
800.0,60.0
800.32,67.0
800.64014,23.0
800.9604,61.0
801.28076,99.0
801.60126,28.0
801.9219,47.0
802.2426,79.0
802.56354,37.0
802.8846,59.0
803.20575,65.0
803.52704,38.0
803.84845,39.0
804.17,81.0
804.49164,34.0
804.8134,33.0
805.1353,44.0
805.4574,35.0
805.7796,37.0
806.1019,67.0
806.4244,49.0
806.74695,29.0
807.06964,68.0
807.39246,39.0
807.7154,20.0
808.03845,55.0
808.3617,71.0
808.68506,19.0
809.00854,46.0
809.33215,81.0
809.6559,24.0
809.97974,35.0
810.3037,68.0
810.6278,25.0
810.9521,45.0
811.2765,81.0
811.601,20.0
811.92566,31.0
812.2504,65.0
812.5753,22.0
812.9003,43.0
813.22546,60.0
813.5508,30.0
813.8762,34.0
814.2018,63.0
814.52747,35.0
814.8533,34.0
815.1792,62.0
815.50525,33.0
815.8314,36.0
816.1578,75.0
816.48425,37.0
816.81085,45.0
817.1376,62.0
817.4644,50.0
817.7914,27.0
818.11847,62.0
818.44574,39.0
818.77313,23.0
819.10065,51.0
819.4283,38.0
819.75604,19.0
820.0839,53.0
820.412,47.0
820.7402,18.0
821.0685,48.0
821.3969,48.0
821.72546,18.0
822.05414,55.0
822.38293,44.0
822.7119,24.0
823.041,65.0
823.37024,65.0
823.6996,24.0
824.02905,39.0
824.35864,55.0
824.6884,49.0
825.0183,364.0
825.3483,56.0
825.67847,29.0
826.0087,170.0
826.3391,62.0
826.6696,39.0
827.0003,77.0
827.3311,49.0
827.66205,30.0
827.9931,56.0
828.3243,50.0
828.65564,27.0
828.9871,43.0
829.3187,45.0
829.65045,29.0
829.9823,42.0
830.3143,68.0
830.6464,26.0
830.9787,39.0
831.3111,42.0
831.6436,23.0
831.97626,34.0
832.309,69.0
832.64197,26.0
832.97504,36.0
833.3082,48.0
833.64154,24.0
833.975,40.0
834.3086,45.0
834.64233,18.0
834.9762,38.0
835.3102,55.0
835.6443,27.0
835.9785,48.0
836.3129,61.0
836.64746,22.0
836.9821,49.0
837.3169,68.0
837.6518,23.0
837.9869,42.0
838.3221,48.0
838.6574,16.0
838.99286,93.0
839.3284,60.0
839.6642,34.0
840.00006,67.0
840.33606,42.0
840.6722,41.0
841.0084,98.0
841.34485,73.0
841.6814,21.0
842.01807,65.0
842.35486,77.0
842.6918,28.0
843.0289,51.0
843.3661,48.0
843.7034,22.0
844.0409,51.0
844.37854,56.0
844.7163,31.0
845.0542,105.0
845.3922,88.0
845.73035,31.0
846.06866,57.0
846.4071,55.0
846.74567,24.0
847.08435,57.0
847.42316,46.0
847.76215,37.0
848.10126,43.0
848.4405,57.0
848.77985,27.0
849.1194,58.0
849.45905,38.0
849.7988,23.0
850.13873,51.0
850.47876,42.0
850.819,28.0
851.1593,49.0
851.49976,31.0
851.84033,29.0
852.1811,54.0
852.522,35.0
852.863,34.0
853.2041,43.0
853.5454,24.0
853.88684,45.0
854.2284,56.0
854.57007,44.0
854.9119,72.0
855.2539,71.0
855.596,27.0
855.93823,59.0
856.2806,52.0
856.6231,24.0
856.96576,64.0
857.30853,67.0
857.6514,28.0
857.9945,47.0
858.3377,71.0
858.681,31.0
859.0245,59.0
859.3681,51.0
859.71185,23.0
860.0557,45.0
860.3997,47.0
860.7439,142.0
861.0882,151.0
861.4326,49.0
861.77716,95.0
862.1219,68.0
862.46674,42.0
862.8117,53.0
863.15686,59.0
863.50214,31.0
863.84753,32.0
864.19305,52.0
864.53876,22.0
864.8846,44.0
865.2305,71.0
865.5766,42.0
865.92285,32.0
866.2692,71.0
866.6157,29.0
866.96234,69.0
867.30914,54.0
867.65607,25.0
868.0031,49.0
868.35034,35.0
868.6977,27.0
869.04517,54.0
869.39276,31.0
869.74054,36.0
870.08844,49.0
870.43646,41.0
870.7846,26.0
871.13293,41.0
871.4814,42.0
871.82996,27.0
872.1787,48.0
872.5276,39.0
872.8766,50.0
873.2257,55.0
873.575,24.0
873.92444,27.0
874.274,60.0
874.6237,30.0
874.9736,35.0
875.32355,49.0
875.6737,17.0
876.024,39.0
876.3744,50.0
876.7249,54.0
877.0756,72.0
877.42645,51.0
877.7774,43.0
878.12854,43.0
878.4798,33.0
878.8312,34.0
879.18274,59.0
879.5344,39.0
879.8862,24.0
880.23816,78.0
880.5903,31.0
880.9425,40.0
881.29486,48.0
881.6474,25.0
882.00006,36.0
882.35284,52.0
882.7058,33.0
883.0589,51.0
883.4121,41.0
883.7655,28.0
884.119,51.0
884.47266,33.0
884.8264,24.0
885.18036,58.0
885.5344,36.0
885.8886,42.0
886.243,47.0
886.5975,34.0
886.9521,43.0
887.3069,57.0
887.6618,29.0
888.01685,45.0
888.3721,51.0
888.7274,25.0
889.0829,39.0
889.43854,59.0
889.7943,20.0
890.1502,50.0
890.5063,42.0
890.8625,29.0
891.2188,50.0
891.5753,28.0
891.93195,33.0
892.2887,60.0
892.6456,24.0
893.0027,47.0
893.35986,51.0
893.7172,23.0
894.0747,55.0
894.4323,51.0
894.7901,42.0
895.148,57.0
895.50604,38.0
895.86426,26.0
896.2226,45.0
896.58105,25.0
896.9397,19.0
897.29846,34.0
897.6574,25.0
898.0165,31.0
898.3757,34.0
898.73505,29.0
899.09454,49.0
899.45416,30.0
899.81396,29.0
900.1739,56.0
900.53394,36.0
900.89417,26.0
901.2545,56.0
901.615,22.0
901.97565,29.0
902.3364,53.0
902.6974,26.0
903.0585,37.0
903.4197,61.0
903.78107,35.0
904.1426,52.0
904.5042,43.0
904.866,36.0
905.22797,81.0
905.5901,30.0
905.95233,34.0
906.3147,48.0
906.67725,26.0
907.0399,44.0
907.4027,47.0
907.7657,24.0
908.1288,55.0
908.49207,53.0
908.85547,29.0
909.219,53.0
909.5827,18.0
909.94653,36.0
910.3105,49.0
910.6746,18.0
911.0389,46.0
911.4033,44.0
911.7679,25.0
912.13257,45.0
912.49744,32.0
912.8624,29.0
913.2276,55.0
913.5929,25.0
913.9583,24.0
914.3239,47.0
914.68964,22.0
915.05554,39.0
915.4216,45.0
915.7877,19.0
916.15405,46.0
916.5205,49.0
916.88715,31.0
917.2539,50.0
917.6208,16.0
917.98785,42.0
918.35504,41.0
918.7224,19.0
919.0899,47.0
919.4575,57.0
919.8253,26.0
920.19324,60.0
920.56134,33.0
920.92957,34.0
921.2979,56.0
921.66644,27.0
922.0351,29.0
922.40393,42.0
922.7729,25.0
923.14197,63.0
923.5112,49.0
923.8806,35.0
924.2502,51.0
924.6199,25.0
924.98975,26.0
925.35974,38.0
925.72986,32.0
926.10016,51.0
926.4706,35.0
926.8412,26.0
927.2119,42.0
927.5828,31.0
927.95386,36.0
928.325,51.0
928.69635,19.0
929.0678,33.0
929.43945,57.0
929.8112,37.0
930.18317,59.0
930.55524,41.0
930.9274,34.0
931.2998,53.0
931.6723,16.0
932.045,18.0
932.4178,44.0
932.7908,18.0
933.1639,47.0
933.5372,32.0
933.9106,27.0
934.2841,70.0
934.65784,30.0
935.0317,33.0
935.4057,49.0
935.77985,29.0
936.1542,50.0
936.5286,37.0
936.90326,31.0
937.278,63.0
937.65295,31.0
938.028,32.0
938.4032,47.0
938.77856,18.0
939.15405,49.0
939.5297,29.0
939.9055,27.0
940.2815,48.0
940.6576,33.0
941.0339,38.0
941.4103,43.0
941.78687,27.0
942.1636,47.0
942.54047,26.0
942.9175,23.0
943.2947,46.0
943.672,17.0
944.04944,37.0
944.42706,58.0
944.8048,24.0
945.18274,54.0
945.5608,37.0
945.939,31.0
946.3174,46.0
946.6959,26.0
947.0746,36.0
947.4534,47.0
947.8324,29.0
948.21155,64.0
948.5908,19.0
948.9703,23.0
949.34985,48.0
949.7296,22.0
950.1095,47.0
950.48956,30.0
950.86975,39.0
